"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" 0.7834 0.6976 0.1066 0.124 0.8416 0.7658 0.6976 0.114 0.7658
"AF7" 0.7834 0.2602 0.1044 0.17 0.8356 0.3936 0.2932 0.133 0.4186
"AF3" 0.736 0.6786 0.1424 0.1692 0.786 0.7254 0.9454 0.1558 0.9626
"F1" 0.4398 0.186 0.1902 0.1896 0.5242 0.2964 0.147 0.1834 0.2634
"F3" 0.773 0.0976 0.1022 0.1288 0.8276 0.2254 0.2704 0.1108 0.3798
"F5" 0.1412 0.546 0.1286 0.2356 0.2646 0.6394 0.3932 0.175 0.469
"F7" 0.0552 0.6294 0.1234 0.3728 0.1996 0.703 0.203 0.2176 0.319
"FT7" 0.8644 0.748 0.1646 0.1656 0.8836 0.7488 0.9772 0.1504 0.9612
"FC5" 0.029 0.4648 0.179 0.3728 0.1714 0.52 0.028 0.2608 0.1688
"FC3" 0.7124 0.4238 0.21 0.2354 0.7572 0.4906 0.4572 0.214 0.5236
"FC1" 0.742 0.564 0.1742 0.1318 0.7798 0.613 0.9466 0.145 0.9468
"C1" 0.532 0.2802 0.184 0.1174 0.6072 0.3886 0.9662 0.1458 0.965
"C3" 0.7982 0.3252 0.1094 0.1448 0.8214 0.4128 0.5068 0.1186 0.5644
"C5" 0.9832 0.1592 0.2698 0.1662 0.977 0.2726 0.385 0.2064 0.4668
"T7" 0.6328 0 0.7934 0.1612 0.6706 0.159 0.097 0.3598 0.24
"TP7" 0.8538 0.2306 0.1976 0.1482 0.8576 0.3284 0.4042 0.1676 0.4816
"CP5" 0.5416 0.0974 0.2404 0.1266 0.5962 0.2164 0.2136 0.1686 0.315
"CP3" 0.3294 0.1872 0.178 0.1222 0.4174 0.3028 0.9888 0.1474 0.9892
"CP1" 0.2078 0.3742 0.1702 0.1026 0.3242 0.4742 0.3602 0.1302 0.4542
"P1" 0.8196 0.6738 0.1602 0.143 0.8458 0.72 0.7682 0.149 0.7996
"P3" 0.975 0.999 0.1368 0.1388 0.9718 0.9898 0.9826 0.137 0.977
"P5" 0.6626 0.7112 0.1456 0.139 0.7344 0.7742 0.6528 0.1414 0.7266
"P7" 0.8202 0.2636 0.1932 0.1476 0.8414 0.3532 0.7718 0.1614 0.793
"P9" 0.6098 0.338 0.1188 0.1274 0.6688 0.4462 0.3862 0.1192 0.4828
"PO7" 0.8848 0.8696 0.1238 0.1298 0.9232 0.916 0.8698 0.1236 0.9162
"PO3" 0.8564 0.7408 0.1556 0.1562 0.8666 0.7618 0.7442 0.1544 0.766
"O1" 0.9712 0.6622 0.1336 0.154 0.972 0.7346 0.6828 0.1396 0.7528
"Oz" 0.5908 0.0516 0.2916 0.1722 0.639 0.1858 0.0566 0.2198 0.1892
"POz" 0.7326 0.3106 0.1138 0.134 0.7796 0.4196 0.3386 0.1228 0.4444
"Pz" 0.3764 0.0998 0.23 0.125 0.463 0.2292 0.4148 0.1696 0.507
"CPz" 0.5204 0.0276 0.2916 0.1056 0.5924 0.1636 0.649 0.1654 0.6914
"Fpz" 0.5516 0.4144 0.1912 0.1732 0.6008 0.474 0.4164 0.179 0.4764
"Fp2" 0.8842 0.6252 0.1256 0.1414 0.9268 0.6986 0.6386 0.132 0.7124
"AF8" 0.427 0.9392 0.1454 0.2376 0.5252 0.9322 0.446 0.183 0.5362
"AF4" 0.9996 0.6586 0.1288 0.1422 0.9956 0.7186 0.8232 0.1346 0.8556
"AFz" 0.8866 0.8242 0.156 0.1588 0.8962 0.8238 0.815 0.1576 0.8294
"Fz" 0.3062 0.5104 0.1646 0.1986 0.4018 0.5728 0.229 0.1782 0.333
