"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" 0.978 0.7146 0.0232 0.0248 0.9772 0.7246 0.7644 0.024 0.7728
"AF7" 0.6146 0.5516 0.023 0.029 0.6234 0.5636 0.9986 0.025 0.9962
"AF3" 0.8194 0.6152 0.0234 0.0246 0.8238 0.6264 0.656 0.024 0.6644
"F1" 0.499 0.0806 0.0494 0.0388 0.5118 0.1042 0.1328 0.0434 0.154
"F3" 0.2264 0.328 0.0364 0.0562 0.246 0.3428 0.1552 0.0444 0.1772
"F5" 0.8358 0.2448 0.0392 0.0228 0.8442 0.2628 0.6472 0.0282 0.6516
"F7" 0.1878 0.4524 0.0394 0.0748 0.2094 0.4684 0.1562 0.0526 0.1782
"FT7" 0.9808 0.086 0.113 0.0458 0.9816 0.1124 0.3976 0.0644 0.4152
"FC5" 0.0702 0.0582 0.0736 0.1096 0.0934 0.083 0.0194 0.0862 0.0442
"FC3" 0.272 0.0382 0.124 0.1276 0.292 0.0666 0.0616 0.1182 0.0896
"FC1" 0.8454 0.0078 0.11 0.0404 0.8528 0.0404 0.122 0.0628 0.1538
"C1" 0.7266 0.293 0.0536 0.028 0.7374 0.3134 0.7514 0.0372 0.7602
"C3" 0.2344 0.08 0.0826 0.11 0.253 0.1046 0.077 0.0874 0.1
"C5" 0.7196 0.1024 0.0886 0.0466 0.726 0.128 0.2614 0.06 0.2818
"T7" 0.872 6e-04 0.3062 0.0478 0.88 0.0362 0.1226 0.1186 0.1518
"TP7" 0.7506 0.2794 0.0308 0.0258 0.7522 0.2954 0.385 0.0264 0.3966
"CP5" 0.9042 0.1382 0.0464 0.0312 0.9086 0.1654 0.4256 0.0378 0.446
"CP3" 0.954 0.263 0.0326 0.0236 0.9556 0.2802 0.5032 0.0266 0.5144
"CP1" 0.5218 0.1632 0.0444 0.0232 0.5406 0.1896 0.645 0.0328 0.653
"P1" 0.6424 0.6762 0.034 0.0264 0.6562 0.686 0.8578 0.0294 0.87
"P3" 0.8946 0.896 0.026 0.0264 0.8876 0.8906 0.888 0.0258 0.8814
"P5" 0.7336 0.6632 0.022 0.0226 0.739 0.6718 0.648 0.0218 0.6562
"P7" 0.9398 0.026 0.0936 0.0398 0.9378 0.0524 0.2692 0.0574 0.2868
"P9" 0.735 0.0268 0.0632 0.0388 0.739 0.054 0.1666 0.0472 0.189
"PO7" 0.9122 0.8996 0.029 0.0292 0.917 0.9072 0.8942 0.0294 0.9018
"PO3" 0.7346 0.6352 0.0268 0.0272 0.7382 0.6416 0.6274 0.0272 0.6354
"O1" 0.836 0.6494 0.023 0.0244 0.8418 0.6608 0.672 0.023 0.6814
"Oz" 0.9688 0.0102 0.081 0.0364 0.9652 0.043 0.0662 0.0518 0.0974
"POz" 0.8644 0.2546 0.0204 0.0274 0.8668 0.277 0.3108 0.0236 0.3316
"Pz" 0.862 0.461 0.0358 0.0268 0.871 0.4756 0.7468 0.03 0.7534
"CPz" 0.8494 0.308 0.0558 0.0296 0.8542 0.3264 0.6748 0.0368 0.682
"Fpz" 0.8844 0.3808 0.04 0.0286 0.8874 0.3998 0.561 0.0344 0.5724
"Fp2" 0.7626 0.5514 0.0296 0.0382 0.7728 0.5708 0.6528 0.0346 0.6694
"AF8" 0.3196 0.4878 0.0252 0.0618 0.3364 0.5054 0.574 0.038 0.5824
"AF4" 0.8098 0.7882 0.0236 0.0222 0.8172 0.7916 0.7418 0.0224 0.7504
"AFz" 0.8546 0.783 0.0262 0.025 0.8514 0.783 0.7686 0.0252 0.7698
"Fz" 0.5274 0.0464 0.0514 0.0374 0.539 0.0708 0.1198 0.0442 0.143
"F2" 0.4588 0.4564 0.034 0.037 0.4748 0.4708 0.3418 0.0332 0.3614
"F4" 0.9718 0.6608 0.0302 0.0272 0.9728 0.671 0.8316 0.0276 0.8338
"F6" 0.3054 0.2118 0.041 0.0528 0.3222 0.2306 0.1502 0.0436 0.1694
"F8" 0.5376 0.5014 0.0398 0.0476 0.547 0.5152 0.394 0.0416 0.4082
"FT8" 0.1252 0.2608 0.0384 0.0582 0.1462 0.2774 0.0732 0.0454 0.095
"FC6" 0.3072 0.82 0.0312 0.0686 0.3278 0.8222 0.3672 0.0464 0.3842
