"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" -4.87197204908029e-05 -0.000373781344291043 -6.93846166887074e-05 -0.000394446240488947 0.0161373328998815 0.244755613917177 -0.000211250532390923 -0.000231915428588827 0.130446473408529
"AF7" -1.57289491063072e-05 -0.000334241396302806 -9.9647073992754e-05 -0.000418159521189253 0.0322910848802791 0.235949682822156 -0.000174985172704557 -0.000258903297591003 0.134120383851218
"AF3" -0.00023232608199738 -0.000317723937780079 -0.000131238668612204 -0.000216636524394904 0.197374690309894 0.233298030166943 -0.000275025009888729 -0.000173937596503554 0.215336360238418
"F1" 4.53441536246217e-05 2.28289610760093e-05 -0.000477263619751668 -0.000499778812300281 -0.0150937796288724 -0.00739390236083189 3.40865573503155e-05 -0.000488521216025975 -0.0112438409948522
"F3" -1.10134834104453e-05 4.08006653316455e-06 -0.000451114547807739 -0.00043602099786413 0.00207370463130775 -0.000343864635028906 -3.46670843864038e-06 -0.000443567772835934 0.000864919998139423
"F5" -1.86350332810948e-05 -1.85025021074519e-05 -0.000424371855608893 -0.00042423932443525 0.011019287142343 0.00330427986927313 -1.85687676942734e-05 -0.000424305590022071 0.00716178350580807
"F7" 0.000106982278343621 5.09593711742111e-06 -0.000448748249178226 -0.000550634590404426 -0.0562603789830052 0.00132951591650933 5.60391077305212e-05 -0.000499691419791326 -0.027465431533248
"FT7" 0.000115144696471055 2.60122481638673e-05 -0.000461948157940901 -0.000551080606248089 -0.0616695501506971 -0.00842593860387889 7.05784723174612e-05 -0.000506514382094495 -0.035047744377288
"FC5" 0.000130276907024883 6.11477435267775e-06 -0.000441025754780227 -0.000565187887452433 -0.0783349249412088 -0.000555394498016756 6.81958406887805e-05 -0.00050310682111633 -0.0394451597196128
"FC3" 5.51010306407807e-06 2.42362010120503e-06 -0.00043372508707762 -0.000436811570040493 -0.000210357165745834 -0.000103402819386487 3.96686158264155e-06 -0.000435268328559057 -0.000156879992566161
"FC1" -2.38023665621687e-05 1.97929025908741e-05 -0.0004498247894771 -0.000406229520324058 0.00514943204127007 -0.00575659325810735 -2.00473198564728e-06 -0.000428027154900579 -0.00030358060841864
"C1" 0.000130917263788135 0.000209473317498384 -0.000652552923190782 -0.000573996869480533 -0.0889758626954908 -0.122013778641637 0.000170195290643259 -0.000613274896335657 -0.105494820668564
"C3" -0.000140462173258284 6.63809441221891e-05 -0.000513006240905258 -0.000306163123524785 0.0882804567966326 -0.0354497423051818 -3.70406145680472e-05 -0.000409584682215021 0.0264153572457254
"C5" -1.12680337684501e-05 2.01644875117222e-05 -0.000460732930195959 -0.000429300408915787 0.00169295880212223 -0.00494569859167553 4.44822687163608e-06 -0.000445016669555873 -0.00162636989477665
"T7" -3.56818851452282e-05 3.13365400131493e-06 -0.000453239698741435 -0.000414424159594892 0.0114704923127982 -0.000727076332211185 -1.62741155719566e-05 -0.000433831929168164 0.00537170799029351
"TP7" -7.86963988692227e-05 -6.33321564859536e-05 -0.000378356239727622 -0.000362991997344353 0.0332406098785188 0.0834106873858539 -7.10142776775882e-05 -0.000370674118535987 0.0583256486321864
"CP5" 0.000498258598940716 0.000253130529925534 -0.000677774418286348 -0.00092290248730153 -0.452179988436479 -0.124213176148217 0.000375694564433125 -0.000800338452793939 -0.288196582292348
"CP3" -6.97911915530754e-05 0.000109341128268874 -0.00056319940749322 -0.00038406708767127 0.0501989927922682 -0.0428217499385802 1.97749683578994e-05 -0.000473633247582245 0.00368862142684398
"CP1" 0.000329129926301628 0.000515981228860993 -0.000967686139650939 -0.000780834837091573 -0.285675958999008 -0.39950414524856 0.00042255557758131 -0.000874260488371256 -0.342590052123784
"P1" 0.000278035292578395 0.000366322152024436 -0.000818152272388803 -0.000729865412942762 -0.238935726890027 -0.263925778264852 0.000322178722301415 -0.000774008842665782 -0.251430752577439
"P3" 1.68608836614666e-05 7.39221424515375e-05 -0.0004947943442014 -0.000437733085411329 -0.00774939832119754 -0.0244615731417073 4.5391513056502e-05 -0.000466263714806364 -0.0161054857314524
"P5" 0.000450460730316841 0.000144624026294121 -0.000593133229669419 -0.00089896993369214 -0.371647441087152 -0.0533108359099679 0.000297542378305481 -0.000746051581680779 -0.21247913849856
"P7" -5.31965551742884e-05 -3.41790105060338e-05 -0.000418264805824765 -0.00039924726115651 0.0271622995860678 0.0146215052947773 -4.36877828401611e-05 -0.000408756033490637 0.0208919024404226
"P9" -0.000148222446227552 -3.60313197892415e-05 -0.000397846209538785 -0.000285655083100474 0.1014675713333 0.021226978294661 -9.21268830083968e-05 -0.000341750646319629 0.0613472748139806
"PO7" -1.80734607615547e-05 -1.94229070305344e-05 -0.000405740556858271 -0.000407090003127251 0.00612894628670507 0.00785204522282972 -1.87481838960445e-05 -0.000406415279992761 0.0069904957547674
"PO3" 4.16485483508848e-05 2.40937648801794e-05 -0.0004733586601294 -0.000490913443600105 -0.00450329129272345 -0.00232250924328023 3.28711566155321e-05 -0.000482136051864753 -0.00341290026800184
"O1" -1.95034625453793e-06 3.54873765461433e-05 -0.00048059955853169 -0.000443161835731009 -0.000763131169937229 -0.0153678264455656 1.67685151458027e-05 -0.000461880697131349 -0.0080654788077514
"Oz" 3.79289646786723e-05 3.4489450673541e-07 -0.000428361077126239 -0.000465945147298176 -0.0115014618752587 -0.000653869953097735 1.91369295927038e-05 -0.000447153112212207 -0.00607766591417822
"POz" 6.08607193773734e-07 9.93512068665247e-07 -0.000432501077171213 -0.000432116172296321 0.000494438633419652 0.00183717503530137 8.0105963121949e-07 -0.000432308624733767 0.00116580683436051
"Pz" 5.31118983059514e-05 5.7649907079786e-05 -0.000508821714900772 -0.000504283706126938 -0.023957098165767 -0.0184833780256046 5.53809026928687e-05 -0.000506552710513855 -0.0212202380956858
"CPz" -6.32442367385453e-05 0.000278974631641002 -0.000718867944142968 -0.000376649075763421 0.0304031251956748 -0.191409139985056 0.000107865197451228 -0.000547758509953195 -0.0805030073946908
"Fpz" 0.00015797908114921 -0.00043735959966247 -1.01145298672341e-06 -0.000596350133798403 -0.124919394314521 0.273286526813403 -0.00013969025925663 -0.000298680793392563 0.0741835662494413
"Fp2" 5.26710103612346e-05 -0.000606008682547304 0.000171261054357642 -0.000487418638550896 -0.0290778523375538 0.405330479405029 -0.000276668836093035 -0.000158078792096627 0.188126313533738
"AF8" -0.00014802402551705 -0.00085031673051607 0.000400384734691772 -0.000301907970307249 0.146269652616763 0.599639208195629 -0.00049917037801656 4.92383821922614e-05 0.372954430406196
"AF4" 8.409582117078e-05 -0.000218447649289594 -0.000218945817689054 -0.000521489288149428 -0.0483434475172221 0.127683617152496 -6.7175914059407e-05 -0.000370217552919241 0.0396700848176371
"AFz" 0.000105131912307421 -0.000261731905060934 -0.00018099782227146 -0.000547861639639816 -0.0740834113276242 0.190976741420228 -7.82999963767565e-05 -0.000364429730955638 0.0584466650463017
"Fz" 4.66951729912351e-05 3.16299159440147e-05 -0.000478584256395885 -0.000493649513443106 -0.0135301998163563 -0.0128663153125728 3.91625444676249e-05 -0.000486116884919496 -0.0131982575644645
"F2" 3.84983377106585e-06 1.35323668816067e-05 -0.000461100619519985 -0.000451418086409444 -0.000301026354781376 -0.00150165037836574 8.69110032633626e-06 -0.000456259352964714 -0.000901338366573558
"F4" -3.85082959374728e-07 2.36861611888008e-08 -0.000447605641435934 -0.000447196872315371 -7.75237032541252e-05 0.000155759434513794 -1.80698399092964e-07 -0.000447401256875652 3.91178656298342e-05
"F6" 2.76477670799501e-05 -1.27643237817763e-06 -0.000437081059880132 -0.000466005259338259 -0.00647804593270395 0.000175463399145199 1.31856673508862e-05 -0.000451543159609196 -0.00315129126677937
"F8" 1.4163201578784e-05 1.09841511883737e-05 -0.000440727617941813 -0.000443906668332223 -0.0021660176877808 -0.000286121029413064 1.25736763835789e-05 -0.000442317143137018 -0.00122606935859693
"FT8" 4.24497561323587e-05 -3.0334179271891e-05 -0.0004031357648075 -0.00047591970021175 -0.0123743199816969 0.0101099356192013 6.05778843023384e-06 -0.000439527732509625 -0.00113219218124782
"FC6" 1.11992440307261e-05 2.0078012444963e-06 -0.000440807712098015 -0.000449999154884245 -0.000661948490293439 -5.9138900553374e-05 6.60352263761121e-06 -0.00044540343349113 -0.000360543695423406
"FC4" -2.52192587297246e-05 1.96908252300221e-05 -0.000468677152824289 -0.000423767068864542 0.00184200100680951 -0.00432257572929151 -2.76421674985126e-06 -0.000446222110844415 -0.001240287361241
"FC2" 1.07376312451183e-05 0.000158970988435572 -0.000598668139640989 -0.000450434782450535 -0.00957704760989291 -0.0964292734086798 8.48543098403454e-05 -0.000524551461045762 -0.0530031605092864
"FCz" -8.8062011055422e-05 0.000172631218993793 -0.000617218533338043 -0.000356525303288827 0.0478355598348039 -0.114618157685704 4.22846039691856e-05 -0.000486871918313435 -0.0333912989254499
"Cz" -0.000318296000129891 0.00032124090412608 -0.000765939838143061 -0.00012640293388709 0.280648479920175 -0.241727177649897 1.47245199809434e-06 -0.000446171386015076 0.0194606511351389
"C2" -0.000256123969130423 0.000213868297224747 -0.000666688859767694 -0.000196696593412525 0.208447339583372 -0.141771222415799 -2.1127835952838e-05 -0.00043169272659011 0.0333380585837865
"C4" -6.42311258500372e-05 9.1815830404188e-05 -0.000534385072721386 -0.00037833811646716 0.0446851271589634 -0.0404012822411789 1.37923522770754e-05 -0.000456361594594273 0.00214192245889224
"C6" -0.000214232691938459 -4.24786571252805e-06 -0.000451130356747975 -0.000241145530522044 0.163024967977592 0.0015917202251882 -0.000109240278825494 -0.00034613794363501 0.08230834410139
"T8" 0.00015453596647765 0.000154946391255238 -0.00060102777067837 -0.000600617345900782 -0.107415938430285 -0.0671343791792333 0.000154741178866444 -0.000600822558289576 -0.087275158804759
"TP8" -0.00019639550659586 0.000142084083859877 -0.000586386816154489 -0.000247907225698752 0.13751209948381 -0.0770812080767684 -2.71557113679914e-05 -0.00041714702092662 0.0302154457035209
"CP6" 5.10503217173476e-05 2.82990027705267e-05 -0.000472938450579803 -0.000495689769526624 -0.0203614781417181 -0.00294964933902052 3.96746622439372e-05 -0.000484314110053213 -0.0116555637403693
"CP4" 9.3428501575518e-05 0.000170627225384391 -0.000613154912884575 -0.000535956189075702 -0.055778117067733 -0.0819647932225785 0.000132027863479955 -0.000574555550980138 -0.0688714551451558
"CP2" 6.03130590686298e-05 0.000242983097928326 -0.000684257256296141 -0.000501587217436445 -0.0515746021846691 -0.158213535144794 0.000151648078498478 -0.000592922236866293 -0.104894068664732
"P2" 9.85398249728503e-05 0.000109026991715706 -0.000538988904933701 -0.000528501738190845 -0.0623296858246177 -0.058141834120702 0.000103783408344278 -0.000533745321562273 -0.0602357599726598
"P4" 0.000143963151623948 0.000180505296469738 -0.000629956560426166 -0.000593414415580377 -0.08822908289912 -0.108750717879204 0.000162234224046843 -0.000611685488003272 -0.098489900389162
"P6" -0.000129139986761573 -0.000231399919907984 -0.000220433307625142 -0.000322693240771553 0.0808844293742499 0.170417664117237 -0.000180269953334778 -0.000271563274198348 0.125651046745744
"P8" -0.000121628923131923 7.31761591860059e-05 -0.000521608818383693 -0.000326803736065764 0.0768357251327697 -0.0407529360573263 -2.42263819729584e-05 -0.000424206277224728 0.0180413945377217
"P10" -0.000128297508185641 -0.000238997697554116 -0.000200187213090999 -0.000310887402459474 0.0830222183951394 0.167180501295552 -0.000183647602869879 -0.000255537307775237 0.125101359845346
"PO8" -6.18353003459106e-06 1.6830432916014e-06 -0.000450239421978467 -0.000442372848652275 0.00112582686867435 -1.07554312595358e-05 -2.25024337149483e-06 -0.000446306135315371 0.000557535718707405
"PO4" -2.39777595156187e-05 -0.000137460902708472 -0.000281587817364454 -0.000395070960557308 0.0363145927491517 0.0844318122160914 -8.07193311120454e-05 -0.000338329388960881 0.0603732024826216
"O2" 0.000264027622249116 -7.08470101926651e-05 -0.000384480898718786 -0.000719355531160566 -0.200672746805057 0.0331319256157433 9.65903060282253e-05 -0.000551918214939676 -0.0837704105946569
