"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" 0.000167348503503721 0.000347444594762373 -0.000791186437306993 -0.000611090346048341 -0.15159958043663 -0.332115843821239 0.000257396549133047 -0.000701138391677667 -0.241857712128934
"AF7" -5.53296926792716e-05 -0.000230046754424943 -0.000199196350987974 -0.000373913412733646 0.041273299113839 0.211986188363334 -0.000142688223552108 -0.00028655488186081 0.126629743738587
"AF3" -5.17066266426149e-05 0.000227002486927025 -0.000655846003288473 -0.000377136889718833 0.035105161745478 -0.19936628978264 8.76479301422051e-05 -0.000516491446503653 -0.0821305640185811
"F1" 8.97550691596365e-05 4.59331986333321e-05 -0.000487633500667911 -0.000531455371194216 -0.0505939945922717 -0.0236742049386137 6.78441338964843e-05 -0.000509544435931064 -0.0371340997654427
"F3" 2.60962264442242e-05 2.13720437186958e-05 -0.000446529064966237 -0.000451253247691765 -0.00679559299964259 -0.0079030497889703 2.373413508146e-05 -0.000448891156329001 -0.00734932139430645
"F5" 1.3781618047509e-05 3.71915935510585e-05 -0.000463920026904063 -0.000440510051400513 -0.00272335707718379 -0.0193418937433424 2.54866057992838e-05 -0.000452215039152288 -0.0110326254102631
"F7" -2.70428102847183e-06 -1.62997826066303e-05 -0.000416211480151583 -0.000429806981729742 0.00221738526407646 0.00734949029658477 -9.50203181755106e-06 -0.000423009230940663 0.00478343778033061
"FT7" -3.39848603659002e-05 -0.000185914250695604 -0.000241643427048938 -0.000393572817378642 0.0193306025485514 0.185099615525408 -0.000109949555530752 -0.00031760812221379 0.10221510903698
"FC5" -0.000114937167539956 -0.000134470795343934 -0.000299511143230247 -0.000319044771034224 0.0907727639209037 0.133148743940487 -0.000124703981441945 -0.000309277957132236 0.111960753930695
"FC3" 1.93693497239238e-05 8.55854304818611e-06 -0.000446314325890177 -0.000457125132565915 0.00180877170909885 0.000494783892562527 1.3963946386055e-05 -0.000451719729228046 0.00115177780083069
"FC1" 7.09591359919713e-05 6.26798404688294e-05 -0.000498478194104604 -0.000506757489627746 -0.0402179569103649 -0.0424402923227393 6.68194882304004e-05 -0.000502617841866175 -0.0413291246165521
"C1" 0.000221863568323017 0.000263281496012639 -0.000704782036046753 -0.000663364108357131 -0.211663105960098 -0.272476451207268 0.000242572532167828 -0.000684073072201942 -0.242069778583683
"C3" 0.000117175406773907 0.000116084264582793 -0.000546404982721009 -0.000547496124912122 -0.0946703050646338 -0.102318782661684 0.00011662983567835 -0.000546950553816566 -0.0984945438631587
