"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" 0.8774 0.1076 0.9252 0.6408 0.9686 0.6388 0.3116 0.7748 0.7608
"AF7" 0.9306 0.0488 0.9096 0.594 0.91 0.6194 0.2086 0.7476 0.6896
"AF3" 0.338 0.0434 0.8768 0.7816 0.6446 0.6012 0.0594 0.831 0.5876
"F1" 0.6786 0.565 0.5392 0.528 0.8278 0.8334 0.599 0.5318 0.8258
"F3" 0.9032 0.878 0.559 0.572 0.9442 0.9674 0.9358 0.5684 0.9476
"F5" 0.8046 0.6304 0.5928 0.582 0.8118 0.8768 0.6594 0.5874 0.7938
"F7" 0.48 0.9074 0.5626 0.5032 0.7152 0.951 0.471 0.5294 0.7342
"FT7" 0.28 0.6072 0.547 0.4816 0.6812 0.8388 0.2456 0.5158 0.6652
"FC5" 0.3338 0.8654 0.5726 0.491 0.6676 0.9772 0.3274 0.5308 0.6784
"FC3" 0.9572 0.9178 0.5792 0.5826 0.9912 0.9886 0.9412 0.5816 0.9872
"FC1" 0.7816 0.48 0.5582 0.6006 0.9032 0.8092 0.968 0.5778 0.9568
"C1" 0.2376 0.0674 0.3704 0.4628 0.6468 0.6314 0.0326 0.4174 0.5962
"C3" 0.2032 0.1342 0.4998 0.6882 0.626 0.6386 0.4852 0.5908 0.686
"C5" 0.8914 0.7196 0.5554 0.5914 0.9496 0.9058 0.901 0.5722 0.9936
"T7" 0.6806 0.9346 0.555 0.59 0.8346 0.957 0.731 0.5716 0.8662
"TP7" 0.7294 0.7044 0.621 0.669 0.916 0.7078 0.606 0.64 0.7658
"CP5" 0.0026 0.1042 0.3362 0.278 0.5948 0.6932 0.001 0.2956 0.5968
"CP3" 0.6116 0.2396 0.4514 0.6234 0.782 0.7704 0.8204 0.5322 0.9076
"CP1" 0.1128 8e-04 0.168 0.3568 0.5648 0.556 0.0012 0.2548 0.556
"P1" 0.163 0.0064 0.2546 0.3886 0.5658 0.5608 0.0078 0.3134 0.5594
"P3" 0.87 0.2614 0.5056 0.575 0.8958 0.756 0.4464 0.539 0.8282
"P5" 0.1696 0.307 0.4102 0.3238 0.5738 0.8168 0.0944 0.3518 0.595
"P7" 0.5844 0.5798 0.5948 0.6084 0.7698 0.7888 0.5548 0.6016 0.765
"P9" 0.2512 0.3538 0.5966 0.7032 0.619 0.6812 0.1884 0.6518 0.603
"PO7" 0.8856 0.7194 0.5958 0.5954 0.8974 0.8568 0.7926 0.595 0.8736
"PO3" 0.7914 0.7522 0.5434 0.5342 0.9586 0.9694 0.7544 0.5376 0.9664
"O1" 0.9872 0.4836 0.5292 0.5704 0.979 0.7942 0.785 0.5502 0.9016
"Oz" 0.628 0.995 0.5928 0.5532 0.8568 0.9526 0.6616 0.5698 0.8508
"POz" 0.9904 0.9784 0.5768 0.5798 0.9872 0.9708 0.9898 0.5758 0.9818
"Pz" 0.6504 0.2944 0.4982 0.5252 0.7822 0.763 0.402 0.5078 0.743
"CPz" 0.705 0.0096 0.329 0.6414 0.891 0.5784 0.2754 0.4666 0.7526
"Fpz" 0.661 0.1266 0.9976 0.4948 0.8158 0.6754 0.5428 0.7246 0.9236
"Fp2" 0.8868 0.0656 0.856 0.5634 0.9574 0.6322 0.2554 0.8506 0.7508
