"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" 0.537 0.2254 0.2456 0.3746 0.7614 0.5934 0.202 0.2842 0.5812
"AF7" 0.8028 0.2316 0.7616 0.5784 0.911 0.6194 0.351 0.6602 0.6712
"AF3" 0.8058 0.249 0.3164 0.5724 0.9176 0.6348 0.5722 0.4254 0.7932
"F1" 0.4344 0.45 0.4376 0.4014 0.7696 0.774 0.4304 0.4138 0.768
"F3" 0.7558 0.7308 0.4764 0.4736 0.9268 0.9182 0.726 0.4752 0.9122
"F5" 0.851 0.4288 0.4692 0.488 0.947 0.7344 0.5888 0.4764 0.8156
"F7" 0.981 0.7502 0.5166 0.5028 0.9812 0.8824 0.8876 0.5058 0.9262
"FT7" 0.697 0.0498 0.6978 0.5376 0.8482 0.521 0.0828 0.614 0.538
"FC5" 0.2566 0.051 0.632 0.6198 0.6162 0.5082 0.0694 0.6246 0.519
"FC3" 0.8634 0.8784 0.4772 0.4724 0.9888 0.987 0.8648 0.4726 0.9878
"FC1" 0.364 0.2566 0.4222 0.4158 0.6954 0.6428 0.2338 0.4168 0.6264
"C1" 0.1414 0.0168 0.2712 0.294 0.5438 0.4832 0.0134 0.2788 0.4818
"C3" 0.1788 0.0844 0.3906 0.3944 0.5888 0.5384 0.0646 0.3898 0.5302
"C5" 0.6358 0.6152 0.443 0.4484 0.8674 0.856 0.6136 0.4434 0.8572
"T7" 0.5372 0.4448 0.5534 0.5162 0.7232 0.6736 0.4468 0.5326 0.6748
"TP7" 0.2314 0.0028 0.168 0.306 0.618 0.4942 0.0072 0.2202 0.4974
"CP5" 8e-04 0.0212 0.2354 0.1352 0.492 0.5036 2e-04 0.1744 0.4922
"CP3" 0.2566 0.0192 0.2638 0.3524 0.6062 0.4908 0.034 0.2978 0.5004
"CP1" 0.12 0.1214 0.2414 0.2204 0.5326 0.536 0.0416 0.2166 0.4962
"P1" 0.1232 0.0232 0.2236 0.2498 0.5586 0.5066 0.0134 0.2272 0.4984
"P3" 0.698 0.1602 0.4294 0.4796 0.8454 0.5804 0.2962 0.4506 0.6508
"P5" 0.0122 0.1388 0.311 0.134 0.4912 0.555 0.0062 0.2 0.488
"P7" 0.473 0.4428 0.5864 0.5544 0.6686 0.6524 0.4428 0.5696 0.6524
"P9" 0.056 0.7206 0.523 0.7512 0.5206 0.8632 0.0696 0.6314 0.525
"PO7" 0.5296 0.523 0.5586 0.5742 0.6754 0.672 0.5226 0.565 0.672
"PO3" 0.66 0.6726 0.4656 0.4366 0.8966 0.9024 0.6602 0.446 0.8968
"O1" 0.3766 0.3756 0.4346 0.4094 0.7174 0.7148 0.3566 0.4192 0.7082
"Oz" 0.745 0.4656 0.5758 0.5202 0.8292 0.6834 0.477 0.5456 0.69
"POz" 0.9928 0.9998 0.4758 0.4758 0.9708 0.9846 0.993 0.4754 0.9766
"Pz" 0.075 0.1576 0.4172 0.3238 0.5464 0.5906 0.0722 0.3638 0.544
"CPz" 0.4044 0.1486 0.338 0.3812 0.6874 0.5564 0.1342 0.3518 0.5468
"Fpz" 0.4184 0.9792 0.5392 0.3394 0.7062 0.9918 0.5866 0.4142 0.7884
"Fp2" 0.5566 0.4636 0.337 0.3718 0.7944 0.723 0.3788 0.327 0.687
"AF8" 0.1124 0.5114 0.3492 0.1788 0.543 0.7496 0.1404 0.2272 0.5578
"AF4" 0.1554 0.335 0.351 0.2514 0.5808 0.6696 0.1078 0.2864 0.554
"AFz" 0.1066 0.9708 0.509 0.2238 0.5426 0.9768 0.289 0.3336 0.6398
"Fz" 0.3638 0.4204 0.448 0.3914 0.7078 0.7296 0.3594 0.416 0.7042
"F2" 0.661 0.6122 0.4528 0.4478 0.8598 0.8294 0.6156 0.4482 0.8292
"F4" 0.9912 0.9706 0.5066 0.5062 0.9678 0.9648 0.9762 0.5052 0.9584
"F6" 0.7232 0.6578 0.4866 0.4888 0.8218 0.7792 0.6636 0.4884 0.7818
"F8" 0.1708 0.5936 0.5394 0.6818 0.5798 0.781 0.1718 0.6124 0.58
"FT8" 0.7102 0.4694 0.5742 0.538 0.8218 0.6866 0.4856 0.5536 0.6936
"FC6" 0.9374 0.8992 0.474 0.4714 0.9262 0.9072 0.9128 0.4706 0.9116
"FC4" 0.2344 0.2366 0.4108 0.3742 0.6344 0.6298 0.2144 0.3948 0.622
"FC2" 0.3494 0.0582 0.3828 0.4376 0.6776 0.5392 0.074 0.4078 0.551
"FCz" 0.4386 0.052 0.3492 0.4096 0.705 0.5216 0.098 0.3784 0.5408
"Cz" 0.9782 0.0332 0.2148 0.4964 0.979 0.5016 0.1894 0.3276 0.5734
"C2" 0.766 0.0532 0.1812 0.4574 0.8788 0.5168 0.1406 0.281 0.5558
"C4" 0.0682 0.0072 0.2698 0.3304 0.5218 0.486 0.0084 0.2942 0.4872
"C6" 0.7848 0.109 0.3896 0.5276 0.9036 0.5582 0.4782 0.4558 0.7366
"T8" 0.0244 0 0.0138 0.1626 0.4962 0.4818 0 0.0494 0.4818
"TP8" 0.5096 0 0.1448 0.4224 0.754 0.5 0.002 0.2518 0.5012
"CP6" 0.1484 0.1308 0.3226 0.3496 0.583 0.5754 0.131 0.333 0.5756
"CP4" 0.0186 0.0038 0.1858 0.2252 0.4798 0.4698 6e-04 0.2002 0.469
"CP2" 0.2462 0.0378 0.3024 0.3616 0.6176 0.5148 0.036 0.3282 0.5154
"P2" 0.0534 0.0926 0.3586 0.2952 0.5104 0.5344 0.02 0.3232 0.495
"P4" 0.0712 0.0296 0.3212 0.3324 0.525 0.4978 0.0156 0.324 0.4926
"P6" 0.0724 0.034 0.6534 0.7384 0.5276 0.5032 0.0202 0.6946 0.4974
"P8" 0.9304 0.049 0.365 0.5102 0.9608 0.5138 0.3384 0.4334 0.6644
"P10" 0.1624 0.0028 0.97 0.7026 0.5734 0.497 0.0028 0.8616 0.497
"PO8" 0.9046 0.8686 0.4804 0.4908 0.9752 0.9828 0.8692 0.4858 0.9826
"PO4" 0.2664 0.0048 0.8244 0.8476 0.635 0.4998 0.062 0.8392 0.5214
"O2" 0.3206 0.0024 0.8282 0.6512 0.6372 0.4722 0.0162 0.7402 0.4804
