"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" -0.00814772997341334 -0.0173389559707004 -0.0845991641356044 -0.0937903901328915 0.0781639820865001 0.168349438517512 -0.0127433429720569 -0.089194777134248 0.123256710302006
"AF7" -0.0059257950048672 -0.00344916794556511 -0.0983881250750115 -0.0959114980157094 0.0562138736249573 0.0325062476951572 -0.00468748147521615 -0.0971498115453605 0.0443600606600573
"AF3" 0.00805625112715773 -0.00994982197012538 -0.0924046150871199 -0.110410688184403 -0.0754301601209061 0.094152974558446 -0.000946785421483826 -0.101407651635761 0.00936140721876997
"F1" -0.00107852890237798 -0.000117805242364654 -0.101950564643361 -0.100989840983347 0.0057217726683395 0.000274293035250273 -0.000598167072371318 -0.101470202813354 0.00299803285179488
"F3" 5.16895685774137e-06 -0.000286676029922909 -0.101842338962021 -0.102134183948802 1.39590296047029e-05 0.000843414625365782 -0.000140753536532584 -0.101988261455412 0.000428686827485242
"F5" 0.000812919482782986 2.70670013669671e-05 -0.101880852240355 -0.102666704721771 -0.00373996756004248 -4.07596386698935e-05 0.000419993242074976 -0.102273778481063 -0.00189036359935619
"F7" 0.00115566030887098 -0.00236137649039559 -0.0997472440708705 -0.103264280870137 -0.00620693488069082 0.0214440001524407 -0.000602858090762303 -0.101505762470504 0.00761853263587493
"FT7" 0.000270163963535464 0.000982321279352786 -0.103175420995851 -0.102463263680034 -0.00117881223753325 -0.00651782622363165 0.000626242621444125 -0.102819342337943 -0.00384831923058245
"FC5" 0.00129916590497598 0.000529314788987212 -0.102287403086586 -0.103057254202574 -0.00850322041634388 -0.00300600025137263 0.000914240346981598 -0.10267232864458 -0.00575461033385826
"FC3" -9.66574070548905e-06 -1.07615842147781e-05 -0.101844307609195 -0.101845403452704 4.42542717743508e-05 4.98809632391335e-05 -1.02136624601336e-05 -0.10184485553095 4.70676175067421e-05
"FC1" 0.000100747065834164 -0.00100941332994125 -0.100639298238382 -0.101749458634157 -0.000234679575635317 0.00587888792423141 -0.000454333132053544 -0.101194378436269 0.00282210417429805
"C1" 0.0011812062400475 -0.00423965673825588 -0.0980864295856234 -0.103507292563927 -0.0106933180187379 0.0381765697072991 -0.00152922524910419 -0.100796861074775 0.0137416258442806
"C3" -0.00311718445159504 -0.00197297679901318 -0.0997498173441603 -0.0986056096915785 0.0255855003425122 0.0154396054148877 -0.00254508062530411 -0.0991777135178694 0.0205125528786999
"C5" 0.000301605703534784 0.000315532336173814 -0.102282456258228 -0.102268529625589 -0.000979346291300467 -0.0010417250254128 0.000308569019854299 -0.102275492941909 -0.00101053565835664
"T7" -0.00268264655382197 0.000855291798605556 -0.102823731854535 -0.0992857935021079 0.0249258058922865 -0.00518159786834266 -0.000913677377608208 -0.101054762678322 0.00987210401197191
"TP7" -0.00441385527948047 -0.0115415880899963 -0.0903513188641189 -0.0974790516746347 0.0414857256257123 0.109872706748208 -0.00797772168473838 -0.0939151852693768 0.07567921618696
"CP5" 0.0100171741954787 -0.00353703371223919 -0.0984698162812517 -0.11202402418897 -0.09380917820478 0.0322412600438002 0.00324007024161974 -0.105246920235111 -0.0307839590804899
"CP3" -0.00354504193141287 -0.0129561961744363 -0.0889214579677286 -0.098332612210752 0.0315027473149606 0.123546071485986 -0.00825061905292458 -0.0936270350892403 0.0775244094004734
"CP1" 0.00189453955986877 -0.00885820240430888 -0.0934169201203417 -0.104169662084519 -0.0175561971194136 0.0846040609190298 -0.00348183142222005 -0.0987932911024305 0.0335239318998081
"P1" 0.00644057408904426 -0.00380491677454941 -0.0980456907548215 -0.108291181618415 -0.059291839536086 0.0353868633866719 0.00131782865724743 -0.103168436186618 -0.0119524880747071
"P3" -0.00506104317096523 -0.00186912559793174 -0.10013417875458 -0.0969422611815464 0.0447325645119072 0.014935128680955 -0.00346508438444849 -0.0985382199680631 0.0298338465964311
"P5" 0.00398704799228504 -0.00166378860155197 -0.100286090757253 -0.10593692735109 -0.0366276955157254 0.0153486872286971 0.00116162969536654 -0.103111509054172 -0.0106395041435142
"P7" -0.000543624910256107 -0.000566409967124443 -0.101444081100916 -0.101466866157784 0.0019572973076153 0.00333209440620772 -0.000555017438690275 -0.10145547362935 0.00264469585691151
"P9" 2.52283806978133e-05 -0.0048370024077516 -0.0967310448758393 -0.101593275664289 -0.000222325422772445 0.0458848943607995 -0.00240588701352689 -0.0991621602700641 0.0228312844690135
"PO7" 0.00106667762288279 0.001545657786605 -0.103720666908113 -0.10324168674439 -0.00558066601501895 -0.0142509319696699 0.00130616770474389 -0.103481176826252 -0.00991579899234445
