"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" 0.00497538386946439 -0.0181253358485105 -0.0825977395533079 -0.105698459271283 -0.0487014167207349 0.177254060432471 -0.00657497598952304 -0.0941480994122954 0.0642763218558682
"AF7" -0.00453694331541744 -0.0134235856248254 -0.0870825935591742 -0.0959692358685821 0.0438125441513627 0.131141547699222 -0.0089802644701214 -0.0915259147138781 0.0874770459252924
"AF3" -0.000169769118556633 -0.00521542191050153 -0.095391987026197 -0.100437639818142 0.00168274654000793 0.0506140206508131 -0.00269259551452908 -0.0979148134221695 0.0261483835954105
"F1" -0.000268418295237203 0.000178437708578164 -0.100626174504994 -0.100179318501178 0.00105783132034226 -0.000629565279989018 -4.49902933295194e-05 -0.100402746503086 0.00021413302017662
"F3" 0.000277728771772408 7.80778208488662e-05 -0.100883860378363 -0.101083511329287 -0.00116034663879602 -0.000194040598206672 0.000177903296310637 -0.100983685853825 -0.000677193618501348
"F5" 0.000288160117781867 0.000734646976181611 -0.101634151276103 -0.101187664417703 -0.0012595649170745 -0.0054601612473712 0.000511403546981739 -0.101410907846903 -0.00335986308222285
"F7" 0.000769000791332323 -0.00184475999895059 -0.0986191426218807 -0.101232903412164 -0.00496168519046792 0.0163702413745898 -0.000537879603809133 -0.0999260230170222 0.00570427809206096
"FT7" 0.00224508351754438 -0.00151605745126913 -0.0990692789457945 -0.102830419914608 -0.0194538972466529 0.012991319332849 0.000364513033137625 -0.100949849430201 -0.00323128895690195
"FC5" 0.000512536552997423 -0.00166346532773119 -0.0988733160870603 -0.101049317967789 -0.00370910510678418 0.0146652492096748 -0.000575464387366885 -0.0999613170274246 0.00547807205144533
"FC3" -7.59378812025794e-05 8.12604087568816e-05 -0.100661270498009 -0.10050407220805 0.000135248688366168 -0.000192738799656241 2.66126377715108e-06 -0.100582671353029 -2.87450556450362e-05
