"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" 0.3786 0.0112 0 0 0.3786 0.0112 0.0256 0 0.0256
"AF7" 0.4754 0.4268 0 0 0.4754 0.4268 0.3092 0 0.3092
"AF3" 0.2398 0.0738 0 0 0.2398 0.0738 0.828 0 0.828
"F1" 0.6456 0.9252 0 0 0.6456 0.9252 0.6618 0 0.6618
"F3" 0.9954 0.8608 0 0 0.9954 0.8608 0.9092 0 0.9092
"F5" 0.7144 0.9884 0 0 0.7144 0.9884 0.7636 0 0.7636
"F7" 0.7428 0.1136 0 0 0.7428 0.1136 0.7104 0 0.7104
"FT7" 0.899 0.5596 0 0 0.899 0.5596 0.641 0 0.641
"FC5" 0.6266 0.7582 0 0 0.6266 0.7582 0.5666 0 0.5666
"FC3" 0.986 0.9804 0 0 0.986 0.9804 0.9778 0 0.9778
"FC1" 0.9636 0.5568 0 0 0.9636 0.5568 0.7278 0 0.7278
"C1" 0.7456 0.1846 0 0 0.7456 0.1846 0.545 0 0.545
"C3" 0.208 0.3332 0 0 0.208 0.3332 0.1494 0 0.1494
"C5" 0.8548 0.8248 0 0 0.8548 0.8248 0.798 0 0.798
"T7" 0.5642 0.6188 0 0 0.5642 0.6188 0.5824 0 0.5824
"TP7" 0.403 0.0018 0 0 0.403 0.0018 0.0132 0 0.0132
"CP5" 0.0072 0.2598 0 0 0.0072 0.2598 0.1852 0 0.1852
"CP3" 0.3048 0.0022 0 0 0.3048 0.0022 0.0024 0 0.0024
"CP1" 0.7692 0.1002 0 0 0.7692 0.1002 0.4094 0 0.4094
"P1" 0.2434 0.3148 0 0 0.2434 0.3148 0.6908 0 0.6908
"P3" 0.166 0.2816 0 0 0.166 0.2816 0.1612 0 0.1612
"P5" 0.5044 0.627 0 0 0.5044 0.627 0.731 0 0.731
"P7" 0.792 0.6388 0 0 0.792 0.6388 0.6694 0 0.6694
"P9" 0.982 0.0988 0 0 0.982 0.0988 0.189 0 0.189
"PO7" 0.7428 0.7098 0 0 0.7428 0.7098 0.71 0 0.71
"PO3" 0.7824 0.7596 0 0 0.7824 0.7596 0.7494 0 0.7494
"O1" 0.4716 0.4896 0 0 0.4716 0.4896 0.496 0 0.496
"Oz" 0.697 0.6704 0 0 0.697 0.6704 0.6242 0 0.6242
"POz" 0.9822 0.9958 0 0 0.9822 0.9958 0.9972 0 0.9972
"Pz" 0.7546 0.4908 0 0 0.7546 0.4908 0.5398 0 0.5398
"CPz" 0.9424 0.0094 0 0 0.9424 0.0094 0.0838 0 0.0838
"Fpz" 0.7138 0.1904 0 0 0.7138 0.1904 0.2764 0 0.2764
"Fp2" 0.8998 0.0158 0 0 0.8998 0.0158 0.1334 0 0.1334
"AF8" 0.0704 0 0.0012 2e-04 0.0704 0 4e-04 2e-04 4e-04
"AF4" 0.8294 0 2e-04 0 0.8294 0 0.0374 0 0.0374
"AFz" 0.267 0.0982 0 0 0.267 0.0982 0.054 0 0.054
"Fz" 0.9828 0.71 0 0 0.9828 0.71 0.8602 0 0.8602
"F2" 0.9946 0.885 0 0 0.9946 0.885 0.9378 0 0.9378
"F4" 0.9912 0.9788 0 0 0.9912 0.9788 0.9846 0 0.9846
"F6" 0.825 0.7544 0 0 0.825 0.7544 0.9334 0 0.9334
"F8" 0.686 0.2216 0 0 0.686 0.2216 0.5502 0 0.5502
"FT8" 0.8 0.6076 0 0 0.8 0.6076 0.6686 0 0.6686
"FC6" 0.9902 0.9056 0 0 0.9902 0.9056 0.9234 0 0.9234
"FC4" 0.3286 0.9772 0 0 0.3286 0.9772 0.3414 0 0.3414
"FC2" 0.4078 0.8066 0 0 0.4078 0.8066 0.6248 0 0.6248
"FCz" 0.7002 0.8484 0 0 0.7002 0.8484 0.8536 0 0.8536
"Cz" 0.692 0.209 0 0 0.692 0.209 0.259 0 0.259
"C2" 0.196 0.0172 2e-04 0 0.196 0.0172 0.0078 0 0.0078
"C4" 0.4598 0.47 0 0 0.4598 0.47 0.949 0 0.949
"C6" 0.3572 0.0672 0 0 0.3572 0.0672 0.1036 0 0.1036
"T8" 0.9372 0.5424 0 0 0.9372 0.5424 0.7274 0 0.7274
"TP8" 0.577 0.0358 0 0 0.577 0.0358 0.11 0 0.11
"CP6" 0.8602 0.2106 0 0 0.8602 0.2106 0.2272 0 0.2272
"CP4" 0.571 0.0052 0 0 0.571 0.0052 0.0256 0 0.0256
"CP2" 0.3414 0.009 0 0 0.3414 0.009 0.0148 0 0.0148
"P2" 0.114 0.0336 0 0 0.114 0.0336 0.0292 0 0.0292
"P4" 0.3612 0.5516 0 0 0.3612 0.5516 0.2734 0 0.2734
"P6" 0.437 0.2822 0 0 0.437 0.2822 0.252 0 0.252
"P8" 0.0346 0.031 0 0 0.0346 0.031 0.0296 0 0.0296
"P10" 0.3678 0.55 0 0 0.3678 0.55 0.2898 0 0.2898
"PO8" 0.9084 0.9092 0 0 0.9084 0.9092 0.9084 0 0.9084
"PO4" 0.967 0.5286 0 0 0.967 0.5286 0.7856 0 0.7856
"O2" 0.017 0.9692 0 0 0.017 0.9692 0.0196 0 0.0196
