"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" 0.2514 6e-04 0 0 0.2514 6e-04 0.0502 0 0.0502
"AF7" 0.1942 0 0 0 0.1942 0 2e-04 0 2e-04
"AF3" 0.9582 0.1144 0 0 0.9582 0.1144 0.2936 0 0.2936
"F1" 0.79 0.7866 0 0 0.79 0.7866 0.9526 0 0.9526
"F3" 0.81 0.8974 0 0 0.81 0.8974 0.806 0 0.806
"F5" 0.8134 0.357 0 0 0.8134 0.357 0.519 0 0.519
"F7" 0.702 0.0898 0 0 0.702 0.0898 0.6498 0 0.6498
"FT7" 0.146 0.1434 0 0 0.146 0.1434 0.6866 0 0.6866
"FC5" 0.7606 0.1084 0 0 0.7606 0.1084 0.5728 0 0.5728
"FC3" 0.9486 0.9076 0 0 0.9486 0.9076 0.9956 0 0.9956
"FC1" 0.5812 0.8322 0 0 0.5812 0.8322 0.5886 0 0.5886
"C1" 0.2562 0.0332 0 0 0.2562 0.0332 0.7316 0 0.7316
"C3" 0.1374 0.519 0 0 0.1374 0.519 0.4318 0 0.4318
"C5" 0.615 0.6318 0 0 0.615 0.6318 0.7568 0 0.7568
"T7" 0.811 0.939 0 0 0.811 0.939 0.8874 0 0.8874
"TP7" 0.0048 0.4336 0 0 0.0048 0.4336 0.0854 0 0.0854
"CP5" 0.694 0.0458 0 0 0.694 0.0458 0.0984 0 0.0984
"CP3" 0.5032 0.3388 0 0 0.5032 0.3388 0.9336 0 0.9336
"CP1" 0.4002 0.8026 0 0 0.4002 0.8026 0.6608 0 0.6608
"P1" 0.1864 0.3136 0 0 0.1864 0.3136 0.1354 0 0.1354
"P3" 0.0646 0.0844 0 0 0.0646 0.0844 0.5292 0 0.5292
"P5" 0.2818 0.026 0 0 0.2818 0.026 0.0488 0 0.0488
"P7" 0.7464 0.4512 0 0 0.7464 0.4512 0.491 0 0.491
"P9" 0.8146 0.2094 0 0 0.8146 0.2094 0.6506 0 0.6506
"PO7" 0.9144 0.5588 0 0 0.9144 0.5588 0.7006 0 0.7006
"PO3" 0.8544 0.6894 0 0 0.8544 0.6894 0.7052 0 0.7052
"O1" 0.3904 0.357 0 0 0.3904 0.357 0.9574 0 0.9574
"Oz" 0.5122 0.5032 0 0 0.5122 0.5032 0.8134 0 0.8134
"POz" 0.9812 0.985 0 0 0.9812 0.985 0.9992 0 0.9992
"Pz" 0.2588 0.1296 0 0 0.2588 0.1296 0.1158 0 0.1158
"CPz" 0.6048 0.4948 0 0 0.6048 0.4948 0.989 0 0.989
"Fpz" 0.6772 6e-04 0 0 0.6772 6e-04 0.0528 0 0.0528
"Fp2" 0.3762 2e-04 0 0 0.3762 2e-04 8e-04 0 8e-04
"AF8" 0.394 0.0352 0 0 0.394 0.0352 0.0452 0 0.0452
"AF4" 0.9058 0 0 0 0.9058 0 0.002 0 0.002
"AFz" 0.5376 0.0256 0 0 0.5376 0.0256 0.0538 0 0.0538
"Fz" 0.7756 0.705 0 0 0.7756 0.705 0.6866 0 0.6866
"F2" 0.8656 0.8046 0 0 0.8656 0.8046 0.82 0 0.82
"F4" 0.9792 0.9836 0 0 0.9792 0.9836 0.9822 0 0.9822
"F6" 0.8812 0.6926 0 0 0.8812 0.6926 0.7632 0 0.7632
"F8" 0.6484 0.1456 0 0 0.6484 0.1456 0.636 0 0.636
"FT8" 0.4718 0.4434 0 0 0.4718 0.4434 0.9952 0 0.9952
"FC6" 0.971 0.9218 0 0 0.971 0.9218 0.9514 0 0.9514
"FC4" 0.2716 0.2552 0 0 0.2716 0.2552 0.7034 0 0.7034
"FC2" 0.1046 0.6312 0 0 0.1046 0.6312 0.3546 0 0.3546
"FCz" 0.9478 0.9542 0 0 0.9478 0.9542 0.9904 0 0.9904
"Cz" 0.8338 0.6562 0 0 0.8338 0.6562 0.911 0 0.911
"C2" 0.1514 0.826 0 0 0.1514 0.826 0.271 0 0.271
"C4" 0.6374 0.1446 0 0 0.6374 0.1446 0.6004 0 0.6004
"C6" 0.5986 0.0154 0 0 0.5986 0.0154 0.225 0 0.225
"T8" 0.0294 0.1976 0 0 0.0294 0.1976 0.5414 0 0.5414
"TP8" 0.0058 0.3286 0 0 0.0058 0.3286 0.1358 0 0.1358
"CP6" 0.1342 0.6756 0 0 0.1342 0.6756 0.2526 0 0.2526
"CP4" 0.4512 0.0212 0 0 0.4512 0.0212 0.0492 0 0.0492
"CP2" 0.885 0.8076 0 0 0.885 0.8076 0.8014 0 0.8014
"P2" 0.3764 0.994 0 0 0.3764 0.994 0.5082 0 0.5082
"P4" 0.2356 0.2678 0 0 0.2356 0.2678 0.876 0 0.876
"P6" 0.9078 0.535 0 0 0.9078 0.535 0.8402 0 0.8402
"P8" 0.0292 0.5932 0 0 0.0292 0.5932 0.0502 0 0.0502
"P10" 0.114 0.0696 0 0 0.114 0.0696 0.5988 0 0.5988
"PO8" 0.9012 0.8694 0 0 0.9012 0.8694 0.9642 0 0.9642
"PO4" 0.5434 0.0124 0 0 0.5434 0.0124 0.1736 0 0.1736
"O2" 0.0192 0.0052 0 0 0.0192 0.0052 0.5178 0 0.5178
