"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" -0.00447033224070078 -0.00266565893711577 -0.0234907796630962 -0.0216861063595112 0.169109742056135 0.0993915099971042 -0.00356799558890828 -0.0225884430113037 0.13425062602662
"AF7" 0.00100747086263938 -0.000696852219763583 -0.0255519553667273 -0.0272562784491303 -0.0366865263703826 0.0249488663020694 0.000155309321437897 -0.0264041169079288 -0.0058688300341566
"AF3" -0.00149312103097449 -0.00151790507989394 -0.024725834232675 -0.0247506182815944 0.0546332790156277 0.0556828815077962 -0.00150551305543421 -0.0247382262571347 0.055158080261712
"F1" -0.000297382724253083 0.000501188326379983 -0.0271241993727657 -0.0263256283221326 0.00500763335333925 -0.0149811486706275 0.00010190280106345 -0.0267249138474491 -0.00498675765864415
"F3" 5.65153462825389e-05 0.000119419712798948 -0.0264435605847693 -0.0263806562182529 -0.000364791772139845 -0.00194280660094052 8.79675295407432e-05 -0.0264121084015111 -0.00115379918654018
"F5" -0.00110257001190583 0.00071738697421854 -0.0270977002064269 -0.0252777432203025 0.0310393453648996 -0.0219520830942489 -0.000192591518843643 -0.0261877217133647 0.00454363113532534
"F7" 0.00297233353070099 -0.000889707139188664 -0.0254496487796872 -0.0293116894495769 -0.0975885759424014 0.0283032002046219 0.00104131319575616 -0.0273806691146321 -0.0346426878688897
"FT7" -0.000196297358566883 -0.00139470664059486 -0.0248955346949448 -0.0260939439769728 0.00417770363813443 0.0478732474198235 -0.000795501999580871 -0.0254947393359588 0.026025475528979
"FC5" 0.00249248102318739 0.000126263025006796 -0.0263907683062982 -0.0287569863044788 -0.0853246604671226 -0.0025149557971518 0.00130937202409709 -0.0275738773053885 -0.0439198081321372
"FC3" -2.9832021970889e-05 8.90174169623671e-05 -0.0264351776921193 -0.0263163282531861 0.000372820880125261 -0.00194217129775915 2.9592697495739e-05 -0.0263757529726527 -0.000784675208816944
"FC1" 0.00020463976277743 0.000557266490826426 -0.026951098847717 -0.026598472119668 -0.00305752024129542 -0.0156690872645831 0.000380953126801928 -0.0267747854836925 -0.00936330375293926
"C1" 0.00107193999586653 0.00268021182611421 -0.0289127706929319 -0.0273044988626843 -0.0357792921864848 -0.0958077715505982 0.00187607591099037 -0.0281086347778081 -0.0657935318685415
"C3" 0.000211531918114704 0.000533546884408198 -0.0268389278759044 -0.0265169129096109 -0.00470903090765199 -0.0148389918558148 0.000372539401261451 -0.0266779203927577 -0.0097740113817334
"C5" -1.08577016351953e-05 8.36477890961017e-05 -0.0263700037745009 -0.0262754982837696 3.92869812908716e-05 -0.000826593209990566 3.63950437304532e-05 -0.0263227510291353 -0.000393653114349847
"T7" -0.000193548826530718 -7.97301804636106e-05 -0.0262287634570132 -0.0261149448109461 0.00235993640407429 0.000812343429984273 -0.000136639503497164 -0.0261718541339797 0.00158613991702928
"TP7" 0.00090925469398467 0.00334120393726997 -0.0296314755149575 -0.0271995262716722 -0.0338300768441902 -0.122005432237556 0.00212522931562732 -0.0284155008933149 -0.0779177545408732
"CP5" 0.00140914723409179 0.0017568065267551 -0.0280633195016951 -0.0277156602090318 -0.0495746017626621 -0.0623996181904886 0.00158297688042344 -0.0278894898553635 -0.0559871099765754
"CP3" 0.00176753239045707 -0.000836211816670721 -0.0255719366490152 -0.028175680856143 -0.0606291915733485 0.028359950292874 0.000465660286893174 -0.0268738087525791 -0.0161346206402372
"CP1" 0.00654732920900425 0.0024054801064972 -0.0288722137055803 -0.0330140628080873 -0.24093361939728 -0.0869273001447663 0.00447640465775073 -0.0309431382568338 -0.163930459771023
"P1" 0.00221257522235441 0.00300497881446838 -0.0295181011310608 -0.0287256975389468 -0.0777921108762186 -0.108181940539726 0.0026087770184114 -0.0291218993350038 -0.0929870257079725
"P3" -0.00111433073536437 0.00205209241124718 -0.0283265671734668 -0.0251601440268552 0.0319393447302451 -0.0717457355224375 0.000468880837941402 -0.026743355600161 -0.0199031953960962
"P5" -0.00531314258293456 0.00164438125288281 -0.0280093307142578 -0.0210518068784404 0.195405365282095 -0.0594878882997297 -0.00183438066502588 -0.0245305687963491 0.0679587384911824
"P7" -9.46614905292724e-05 -0.000770252904776588 -0.0257129371793769 -0.0263885285936242 0.000777867826314385 0.0252133928144414 -0.00043245719765293 -0.0260507328865006 0.0129956303203779
"P9" -0.000620162763883279 0.000250855314542562 -0.0266144893681555 -0.0257434712897297 0.0150173382844432 -0.00600379619845455 -0.000184653724670359 -0.0261789803289426 0.00450677104299433
"PO7" 0.000476695232037787 0.000239519658384757 -0.0267081918883999 -0.026945367462053 -0.00906433149432551 -0.00346101088843839 0.000358107445211272 -0.0268267796752265 -0.00626267119138195
"PO3" -0.000131391891831886 0.000441135244629737 -0.02685161579376 -0.0262790886572984 0.00125859494617784 -0.0139469651804305 0.000154871676398926 -0.0265653522255292 -0.00634418511712633
"O1" 5.58341755513088e-05 0.000861508172749699 -0.0271279737245 -0.0263222997273016 -0.000383417053210178 -0.030695433055181 0.000458671174150504 -0.0267251367259008 -0.0155394250541956
"Oz" 0.000263306798577503 -0.000581575887921905 -0.0257359359239945 -0.0265808186104939 -0.00332427549797191 0.019292857787042 -0.000159134544672201 -0.0261583772672442 0.00798429114453504
"POz" 1.36506827548532e-05 1.46918285929257e-05 -0.0261673414144903 -0.0261663002686522 2.23399448193333e-05 -0.000255682853110739 1.41712556738894e-05 -0.0261668208415712 -0.000116671454145703
"Pz" 0.000944587494844466 0.00185367011878565 -0.0280985214238202 -0.027189438799879 -0.025673084274614 -0.0661829737002085 0.00139912880681506 -0.0276439801118496 -0.0459280289874112
"CPz" 0.00136255839382166 0.000608533115301906 -0.0269640342014703 -0.0277180594799901 -0.0463246908536722 -0.0206443465911634 0.000985545754561784 -0.0273410468407302 -0.0334845187224178
"Fpz" -0.00586419526815077 -0.00343976992641429 -0.0229097910137975 -0.020485365672061 0.217594786320023 0.128801625210773 -0.00465198259728253 -0.0216975783429292 0.173198205765398
"Fp2" -0.0016846921128656 -0.00843902060225517 -0.0179194368598489 -0.0246737653492384 0.0630939758822677 0.316250247928908 -0.00506185635756039 -0.0212966011045436 0.189672111905588
"AF8" -0.00403445797865366 -0.0145300986754082 -0.0119527458739418 -0.0224483865706964 0.15354258286949 0.547311525897471 -0.00928227832703095 -0.0172005662223191 0.35042705438348
"AF4" -2.99471839886531e-05 -0.00522105630975592 -0.0211670538311126 -0.0263581629568798 0.00154485079313346 0.196362837642563 -0.00262550174687229 -0.0237626083939962 0.0989538442178482
"AFz" -0.00115322361898675 0.000750726322427243 -0.0270281605738047 -0.0251242106323907 0.0419935552544923 -0.0260826853628844 -0.000201248648279753 -0.0260761856030977 0.00795543494580397
"Fz" -0.000540691832046466 0.000431965264464813 -0.0267778379193955 -0.0258051808228842 0.0113104392333624 -0.0116045737019933 -5.43632837908266e-05 -0.0262915093711399 -0.00014706723431548
"F2" 1.57475088493749e-05 0.000376650032172102 -0.026560363961663 -0.0261994614383402 -0.000117541524505311 -0.0119820827436532 0.000196198770510738 -0.0263799127000016 -0.00604981213407927
"F4" -1.65247548293068e-06 -1.98576031930774e-06 -0.0262096623562314 -0.0262099956410678 1.76745798515364e-05 5.73112181239038e-05 -1.81911790111921e-06 -0.0262098289986496 3.74928989877201e-05
"F6" 0.000349537168782959 -0.000368587148255045 -0.0260301738901226 -0.0267482982071606 -0.00602074377398578 0.0125782147207939 -9.52498973604319e-06 -0.0263892360486416 0.00327873547340408
"F8" 0.000436811763029806 -0.00100631681460036 -0.0252453085312793 -0.0266884371089095 -0.00746397639664308 0.0346837321675669 -0.000284752525785279 -0.0259668728200944 0.0136098778854619
"FT8" 0.000370281828322049 -0.00111018306180595 -0.0252298361397611 -0.0267103010298891 -0.00615634313062188 0.0400145524480513 -0.000369950616741953 -0.0259700685848251 0.0169291046587147
"FC6" -5.06605732825781e-05 -0.00010984808272377 -0.0261961978776608 -0.026255385387102 0.000398425562690782 0.00394062500586006 -8.02543280031739e-05 -0.0262257916323814 0.00216952528427542
"FC4" -0.000820887873388693 0.00100383542151632 -0.0272507844028941 -0.0254260611079891 0.0202006088987387 -0.0342264533827262 9.14737740638154e-05 -0.0263384227554416 -0.00701292224199376
"FC2" 0.000925203430168582 0.000741622364803211 -0.0272236675579221 -0.0274072486232875 -0.0270624603959143 -0.0210035403169313 0.000833412897485897 -0.0273154580906048 -0.0240330003564228
"FCz" 0.00106700713180589 0.00116356286502485 -0.0274184239426186 -0.0273218682093997 -0.0327156713870245 -0.0388446399651618 0.00111528499841537 -0.0273701460760092 -0.0357801556760931
"Cz" 0.00349241295246479 0.0018462508810682 -0.0280514032172801 -0.0296975652886767 -0.126215950885917 -0.0670908544563286 0.0026693319167665 -0.0288744842529784 -0.0966534026711227
"C2" 7.3706604900742e-07 0.00329449980774681 -0.0296030241696764 -0.0263092614279786 0.00180010058738164 -0.120252296411084 0.00164761843689791 -0.0279561427988275 -0.0592260979118511
"C4" -0.000191982420151665 0.00225404508128761 -0.0284007720802943 -0.025954744578855 0.00531105423528838 -0.0797640477619219 0.00103103133056797 -0.0271777583295747 -0.0372264967633168
"C6" 0.00161474249989201 0.000863163094920288 -0.027005942005774 -0.0277575214107458 -0.0530054644472221 -0.025811025055295 0.00123895279740615 -0.0273817317082599 -0.0394082447512586
"T8" 0.00145612530047463 0.00495990363217861 -0.031350660926304 -0.0278468825946 -0.0515420000667996 -0.182202538754946 0.00320801446632662 -0.029598771760452 -0.116872269410873
"TP8" 0.00133829361207489 0.00135259116773584 -0.0276137112080274 -0.0275994136523665 -0.0455310296241409 -0.0466018864438518 0.00134544238990537 -0.0276065624301969 -0.0460664580339963
"CP6" -7.84130818431695e-05 0.000226428669566059 -0.0265234020485733 -0.0262185602971641 0.00108902707685687 -0.00454094429333705 7.4007793861445e-05 -0.0263709811728687 -0.00172595860824009
"CP4" 0.0014790901224402 0.0047253077517953 -0.0311152880230758 -0.0278690703937207 -0.0505853258952107 -0.171335451485415 0.00310219893711775 -0.0294921792083983 -0.110960388690313
"CP2" 0.00124878944213889 0.00261542039727351 -0.028932909030137 -0.0275662780750024 -0.0406663465011165 -0.0924600653896172 0.0019321049197062 -0.0282495935525697 -0.0665632059453669
"P2" -0.000563010945731971 0.00140605551925146 -0.0277931485528701 -0.0258240820878867 0.0156014823705159 -0.0475658450808038 0.000421522286759743 -0.0268086153203784 -0.0159821813551439
"P4" -0.000314908449400405 0.00183813147393807 -0.0280509571666898 -0.0258979172433513 0.00832389411394432 -0.0627459440058818 0.000761611512268833 -0.0269744372050206 -0.0272110249459687
"P6" -0.00116640862245078 -0.000250133249910282 -0.0259528343062624 -0.0250365589337219 0.0352426743100021 0.0063379890949027 -0.000708270936180533 -0.0254946966199922 0.0207903317024524
