"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" 0.00577305706399815 -0.00850228948363644 -0.0174668244083828 -0.0317421709560173 -0.219404942049287 0.322352627249606 -0.00136461620981915 -0.0246044976822001 0.0514738426001594
"AF7" 0.00421485250672435 -0.00504636357197877 -0.0208262153634253 -0.0300874314421284 -0.159700914968984 0.190598567334044 -0.000415755532627211 -0.0254568234027769 0.0154488261825298
"AF3" 0.00163394023872003 -0.00165294054601398 -0.0242923211372985 -0.0275792019220325 -0.0614113817948645 0.0622799831262038 -9.50015364697791e-06 -0.0259357615296655 0.000434300665669653
"F1" 8.07098512528143e-05 0.000261759838265685 -0.0262609367251064 -0.0260798867380935 -0.00101925295316487 -0.00640895292821815 0.00017123484475925 -0.0261704117316 -0.00371410294069151
"F3" 1.05767324236902e-05 1.09632503895134e-05 -0.0259374868750319 -0.0259371003570661 -3.85983558392858e-05 -7.45634983161402e-05 1.07699914066018e-05 -0.025937293616049 -5.6580927077713e-05
"F5" -3.22052345994215e-05 0.000417856344102031 -0.0263457828762575 -0.025895721297556 0.000540438498130217 -0.0114353476041283 0.000192825554751305 -0.0261207520869068 -0.00544745455299906
"F7" 0.00161004178139373 -5.78896484724984e-05 -0.0258030624608973 -0.0274709938907635 -0.0505380776109913 0.00108276049013263 0.000776076066460615 -0.0266370281758304 -0.0247276585604293
"FT7" 0.00128126938845664 -0.000261254161198753 -0.0255727398757131 -0.0271152634253685 -0.0432731443932493 0.00735298720789375 0.000510007613628944 -0.0263440016505408 -0.0179600785926778
"FC5" 0.00140439427884468 -0.000601512314532867 -0.0253234263640917 -0.0273293329574693 -0.0464264769522438 0.019204532740042 0.000401440982155906 -0.0263263796607805 -0.0136109721061009
"FC3" 3.67044193781997e-05 2.90611756623581e-05 -0.0258748697432436 -0.0258825129869594 -0.000286875003089854 -0.000248207237684606 3.28827975202789e-05 -0.0258786913651015 -0.00026754112038723
"FC1" 0.0003947708661967 0.000359676200986335 -0.0261720678524948 -0.0262071625177051 -0.00951513465319551 -0.00968540408236353 0.000377223533591517 -0.0261896151850999 -0.00960026936777952
"C1" 0.000392891254033548 0.00157344548905631 -0.0275595875692702 -0.0263790333342474 -0.0145222490393387 -0.0570643667897548 0.000983168371544928 -0.0269693104517588 -0.0357933079145467
"C3" -0.000355341633299891 -5.65734570019686e-06 -0.0259328239076656 -0.0255831396200659 0.010380414596394 0.000298875892951727 -0.000180499489500044 -0.0257579817638658 0.00533964524467286
"C5" -0.000301314250399554 0.000174403087830257 -0.0262045199787523 -0.0257288026405225 0.0068946331510852 -0.0034661326049747 -6.3455581284648e-05 -0.0259666613096374 0.00171425027305525
"T7" 0.000115337129149517 9.85039410924424e-06 -0.0258591166993041 -0.0259646034343444 -0.00141875747288829 -3.47771460773335e-05 6.25937616293808e-05 -0.0259118600668242 -0.00072676730948281
"TP7" -0.00219542457503976 0.00500498920770652 -0.0308867783981451 -0.0236863646153988 0.0818608458054602 -0.188866737964617 0.00140478231633338 -0.0272865715067719 -0.0535029460795782
