"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" 0.3034 0.405 0.0166 0.0274 0.3058 0.4074 0.1846 0.018 0.1874
"AF7" 0.7162 0.7408 0.0076 0.006 0.7176 0.7422 0.928 0.0062 0.9286
"AF3" 0.6238 0.5 0.0092 0.0098 0.6258 0.5016 0.4218 0.0082 0.4246
"F1" 0.7336 0.552 0.0048 0.0072 0.7354 0.5554 0.8322 0.0056 0.8348
"F3" 0.9554 0.8268 0.0042 0.005 0.9564 0.8306 0.8788 0.0048 0.8814
"F5" 0.3902 0.3366 0.0052 0.0098 0.3958 0.3422 0.7432 0.006 0.7452
"F7" 0.1622 0.1962 0.0078 0.003 0.1664 0.2004 0.2994 0.004 0.3032
"FT7" 0.8678 0.1214 0.0088 0.0068 0.8688 0.1272 0.2836 0.0076 0.2894
"FC5" 0.117 0.8702 0.0046 0.0022 0.1216 0.8704 0.1384 0.003 0.1422
"FC3" 0.9542 0.8752 0.0042 0.0056 0.954 0.8782 0.9626 0.0054 0.9656
"FC1" 0.8204 0.404 0.0036 0.004 0.8216 0.4076 0.5178 0.0038 0.5206
"C1" 0.5472 0.036 0.0026 0.0048 0.5476 0.0412 0.084 0.0026 0.0888
"C3" 0.8304 0.489 0.0044 0.0052 0.8308 0.4918 0.5494 0.0048 0.5526
"C5" 0.992 0.8742 0.0044 0.0048 0.9924 0.8746 0.9372 0.0048 0.9384
"T7" 0.8322 0.8768 0.0058 0.0062 0.8332 0.8786 0.799 0.0062 0.8012
"TP7" 0.7924 0.046 0.0028 0.0074 0.794 0.0528 0.2788 0.0036 0.2844
"CP5" 0.4876 0.2162 0.0018 0.0032 0.4912 0.2206 0.1994 0.0022 0.2042
"CP3" 0.2682 0.5194 0.0072 0.0028 0.2728 0.522 0.646 0.0046 0.6486
"CP1" 0.0258 0.301 0.0018 0.001 0.0308 0.3052 0.0172 8e-04 0.0222
"P1" 0.4288 0.082 0.0018 0.0018 0.4312 0.086 0.1078 0.0024 0.1122
"P3" 0.3578 0.1586 0.0024 0.0084 0.361 0.1634 0.4866 0.0046 0.491
"P5" 0.0508 0.2608 0.0022 0.0278 0.0546 0.2646 0.2342 0.0066 0.236
"P7" 0.9302 0.5708 0.0056 0.0044 0.9312 0.5722 0.6082 0.0052 0.6096
"P9" 0.6576 0.68 0.0056 0.0078 0.6594 0.681 0.8186 0.0064 0.8192
"PO7" 0.7588 0.7954 0.0046 0.0046 0.7602 0.7976 0.7346 0.004 0.7372
"PO3" 0.885 0.7588 0.0052 0.0068 0.8864 0.7618 0.8116 0.0058 0.8142
"O1" 0.9604 0.4588 0.0038 0.0058 0.9614 0.4626 0.5126 0.0046 0.516
"Oz" 0.8194 0.5816 0.0046 0.0038 0.8192 0.5806 0.8034 0.0036 0.8024
"POz" 0.9974 0.9912 0.005 0.0064 0.9972 0.9914 0.9984 0.0048 0.9986
"Pz" 0.4014 0.163 0.002 0.0032 0.4044 0.1672 0.168 0.0024 0.1722
"CPz" 0.521 0.6836 0.0052 0.005 0.5242 0.6876 0.4492 0.0052 0.4536
"Fpz" 0.232 0.2856 0.024 0.0454 0.2356 0.29 0.1158 0.0248 0.1198
"Fp2" 0.725 0.0304 0.0934 0.0138 0.7248 0.0338 0.1038 0.0294 0.1072
"AF8" 0.4206 0.002 0.2682 0.028 0.423 0.0068 0.0066 0.0842 0.0114
"AF4" 0.9914 0.0014 0.0214 0.008 0.9912 0.006 0.1614 0.0124 0.1648
"AFz" 0.7192 0.7862 0.005 0.01 0.722 0.7882 0.922 0.0062 0.9224
"Fz" 0.614 0.5122 0.0046 0.0076 0.6164 0.5146 0.912 0.005 0.9124
"F2" 0.9818 0.6784 0.0044 0.0058 0.9808 0.6802 0.7476 0.0054 0.749
"F4" 0.9974 0.9868 0.004 0.0038 0.9966 0.986 0.9962 0.0038 0.9954
"F6" 0.7782 0.7044 0.005 0.0046 0.7788 0.7046 0.9872 0.004 0.987
"F8" 0.7668 0.2074 0.0064 0.0042 0.7676 0.2098 0.6798 0.0044 0.6814
"FT8" 0.7286 0.5392 0.0072 0.0048 0.73 0.5414 0.5874 0.0056 0.5892
"FC6" 0.9508 0.9144 0.0044 0.0046 0.9508 0.9144 0.9176 0.0044 0.9172
"FC4" 0.5042 0.311 0.0028 0.005 0.505 0.3138 0.8774 0.004 0.879
"FC2" 0.3868 0.3656 0.0056 0.006 0.3912 0.372 0.2386 0.0052 0.2454
"FCz" 0.5122 0.1898 0.0036 0.0048 0.5164 0.1964 0.229 0.004 0.2352
"Cz" 0.1858 0.342 0.003 0.0016 0.1908 0.345 0.109 0.0016 0.1144
"C2" 0.987 0.2124 0.0018 0.0054 0.987 0.2168 0.4126 0.0022 0.415
"C4" 0.863 0.0392 0.0038 0.0078 0.8632 0.0466 0.1588 0.0052 0.1662
"C6" 0.1782 0.4436 0.0056 0.0044 0.1828 0.449 0.1466 0.0048 0.152
