"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" 0.03 0.0032 0.0294 0 0.03 0.0032 0.4982 8e-04 0.4982
"AF7" 0.0506 0.0112 0.0044 0 0.0506 0.0112 0.7762 0 0.7762
"AF3" 0.4644 0.415 6e-04 2e-04 0.4646 0.4152 0.997 2e-04 0.9968
"F1" 0.8896 0.5752 0 0 0.8896 0.5752 0.6828 0 0.6828
"F3" 0.9912 0.977 0 0 0.9912 0.977 0.9738 0 0.9738
"F5" 0.9522 0.3802 0 0 0.9522 0.3802 0.6824 0 0.6824
"F7" 0.2222 0.913 4e-04 0 0.2226 0.9134 0.285 2e-04 0.2854
"FT7" 0.1852 0.6646 4e-04 0 0.1854 0.6648 0.3786 0 0.3788
"FC5" 0.1824 0.3198 2e-04 0 0.1824 0.3198 0.5226 0 0.5226
"FC3" 0.9502 0.94 0 0 0.9502 0.94 0.931 0 0.931
"FC1" 0.588 0.4642 0 0 0.588 0.4642 0.4376 0 0.4376
"C1" 0.8 0.1694 0 0 0.8 0.1694 0.332 0 0.332
"C3" 0.6902 0.9858 0 2e-04 0.69 0.9856 0.7602 2e-04 0.76
"C5" 0.6528 0.6986 0 0 0.6528 0.6986 0.8532 0 0.8532
"T7" 0.8316 0.99 0 0 0.8316 0.99 0.8624 0 0.8624
"TP7" 0.2728 0.0024 0 0.0012 0.2728 0.0024 0.291 2e-04 0.291
"CP5" 0.9784 0.0908 0 0 0.9784 0.0908 0.256 0 0.256
"CP3" 0.5756 0.073 0 0 0.5756 0.073 0.1514 0 0.1514
"CP1" 0.0436 0.3364 0 0 0.0436 0.3364 0.0538 0 0.0538
"P1" 0.0278 0.001 0 0 0.0278 0.001 4e-04 0 4e-04
"P3" 0.0568 0.0496 6e-04 0.0024 0.0578 0.0506 0.7264 0.0014 0.7274
"P5" 0.608 0 0 0.001 0.6084 4e-04 0.0726 0 0.073
"P7" 0.6458 0.4568 2e-04 0 0.6458 0.4568 0.4676 0 0.4676
"P9" 0.7004 0.4646 2e-04 0 0.7006 0.4644 0.5082 0 0.5084
"PO7" 0.7004 0.7842 2e-04 2e-04 0.7006 0.7844 0.8212 2e-04 0.821
"PO3" 0.9872 0.6984 2e-04 2e-04 0.9874 0.6982 0.7624 2e-04 0.7622
"O1" 0.7348 0.341 0 4e-04 0.735 0.3412 0.44 2e-04 0.4398
"Oz" 0.854 0.46 6e-04 2e-04 0.8542 0.4598 0.4828 4e-04 0.4826
"POz" 0.9694 0.9578 0 0 0.9694 0.9578 0.9748 0 0.9748
"Pz" 0.3428 0.0782 0 0 0.3428 0.0782 0.1004 0 0.1004
"CPz" 0.4184 0.842 0 0 0.4184 0.842 0.6366 0 0.6366
"Fpz" 0.0874 4e-04 0.0338 0 0.0876 6e-04 0.29 0.0014 0.2902
"Fp2" 0.0646 0.0036 0.0476 0 0.0648 0.0038 0.4852 6e-04 0.4854
"AF8" 0.8286 0.0054 0.0282 8e-04 0.8288 0.0056 0.0362 0.0036 0.0364
"AF4" 0.1406 2e-04 0.0112 0 0.1408 4e-04 0.3242 0.0012 0.324
"AFz" 0.7386 0.0544 0.0036 2e-04 0.7386 0.0544 0.2686 6e-04 0.2686
"Fz" 0.88 0.529 0 0 0.8802 0.5292 0.6528 0 0.653
"F2" 0.9856 0.6586 4e-04 4e-04 0.9852 0.6582 0.803 4e-04 0.8026
"F4" 0.9722 0.9952 0 0 0.9722 0.9952 0.976 0 0.976
"F6" 0.8266 0.6558 0 0 0.8266 0.6558 0.6982 0 0.6982
"F8" 0.8318 0.2852 0 0 0.8318 0.2852 0.516 0 0.516
"FT8" 0.452 0.4438 8e-04 0 0.4522 0.444 0.9156 4e-04 0.9158
"FC6" 0.9898 0.9092 0 0 0.9898 0.9092 0.9544 0 0.9544
"FC4" 0.5324 0.2448 0 0 0.5324 0.2448 0.7358 0 0.7358
"FC2" 0.9028 0.5328 0 0 0.9028 0.5328 0.6478 0 0.6478
