TrialN,Sample,BlockN,StimType,rawRT,corrNT,corrTG,ITI,RT
1,106512,1,0,NaN,1,NaN,0.990234375,NaN
2,107526,1,0,NaN,1,NaN,1.00390625,NaN
3,108554,1,0,NaN,1,NaN,1.0029296875,NaN
4,109581,1,0,NaN,1,NaN,1.00390625,NaN
5,110609,1,0,NaN,1,NaN,1.00390625,NaN
6,111637,1,0,NaN,1,NaN,1.0029296875,NaN
7,112664,1,0,NaN,1,NaN,1.00390625,NaN
8,113692,1,0,NaN,1,NaN,1.00390625,NaN
9,114720,1,0,NaN,1,NaN,1.00390625,NaN
10,115748,1,0,NaN,1,NaN,1.0029296875,NaN
11,116775,1,1,NaN,NaN,1,1.3046875,1.708984375
12,118111,1,0,0.404296875,1,NaN,1.00390625,NaN
13,119139,1,0,NaN,1,NaN,1.00390625,NaN
14,120167,1,0,NaN,1,NaN,1.00390625,NaN
15,121195,1,0,NaN,1,NaN,1.0029296875,NaN
16,122222,1,0,NaN,1,NaN,1.00390625,NaN
17,123250,1,0,NaN,1,NaN,1.00390625,NaN
18,124278,1,0,NaN,1,NaN,1.0029296875,NaN
19,125305,1,0,NaN,1,NaN,1.00390625,NaN
20,126333,1,0,NaN,1,NaN,1.00390625,NaN
21,127361,1,0,NaN,1,NaN,1.00390625,NaN
22,128389,1,0,NaN,1,NaN,1.0029296875,NaN
23,129416,1,0,NaN,1,NaN,1.00390625,NaN
24,130444,1,0,NaN,1,NaN,1.00390625,NaN
25,131472,1,0,NaN,1,NaN,1.0029296875,NaN
26,132499,1,1,NaN,NaN,1,1.3046875,1.603515625
27,133835,1,0,0.298828125,1,NaN,1.00390625,NaN
28,134863,1,0,NaN,1,NaN,1.00390625,NaN
29,135891,1,0,NaN,1,NaN,1.00390625,NaN
30,136919,1,0,NaN,1,NaN,1.0029296875,NaN
31,137946,1,0,NaN,1,NaN,1.00390625,NaN
32,138974,1,0,NaN,1,NaN,1.00390625,NaN
33,140002,1,0,NaN,1,NaN,1.00390625,NaN
34,141030,1,0,NaN,1,NaN,1.0029296875,NaN
35,142057,1,1,NaN,NaN,1,1.3046875,1.9560546875
36,143393,1,0,0.6513671875,1,NaN,1.00390625,NaN
37,144421,1,0,NaN,1,NaN,1.00390625,NaN
38,145449,1,0,NaN,1,NaN,1.0029296875,NaN
39,146476,1,0,NaN,1,NaN,1.00390625,NaN
40,147504,1,0,NaN,1,NaN,1.00390625,NaN
41,148532,1,0,NaN,1,NaN,1.00390625,NaN
42,149560,1,0,NaN,1,NaN,1.0029296875,NaN
43,150587,1,0,NaN,1,NaN,1.00390625,NaN
44,151615,1,0,NaN,1,NaN,1.00390625,NaN
45,152643,1,0,NaN,1,NaN,1.00390625,NaN
46,153671,1,0,NaN,1,NaN,1.0029296875,NaN
47,154698,1,0,NaN,1,NaN,1.00390625,NaN
48,155726,1,0,NaN,0,NaN,1.00390625,1.576171875
49,156754,1,0,0.572265625,1,NaN,1.0029296875,NaN
50,157781,1,1,NaN,NaN,0,1.3046875,NaN
51,159117,1,0,NaN,1,NaN,1.00390625,NaN
52,160145,1,0,NaN,1,NaN,1.00390625,NaN
53,161173,1,0,NaN,1,NaN,1.00390625,NaN
54,162201,1,0,NaN,1,NaN,1.0029296875,NaN
55,163228,1,0,NaN,1,NaN,1.00390625,NaN
56,164256,1,0,NaN,1,NaN,1.00390625,NaN
57,165284,1,1,NaN,NaN,0,1.3046875,NaN
58,166620,1,0,NaN,1,NaN,1.00390625,NaN
59,167648,1,0,NaN,1,NaN,1.0029296875,NaN
60,168675,1,0,NaN,1,NaN,1.00390625,NaN
61,169703,1,0,NaN,1,NaN,1.00390625,NaN
62,170731,1,0,NaN,1,NaN,1.0029296875,NaN
63,171758,1,0,NaN,1,NaN,1.00390625,NaN
64,172786,1,0,NaN,1,NaN,1.00390625,NaN
65,173814,1,0,NaN,1,NaN,1.00390625,NaN
66,174842,1,0,NaN,1,NaN,1.0029296875,NaN
67,175869,1,0,NaN,1,NaN,1.00390625,NaN
68,176897,1,0,NaN,1,NaN,1.00390625,NaN
69,177925,1,1,NaN,NaN,1,1.3046875,1.5693359375
70,179261,1,0,0.2646484375,1,NaN,1.0029296875,NaN
