TrialN,Sample,BlockN,StimType,rawRT,corrNT,corrTG,ITI,RT
1,13020,1,0,NaN,1,NaN,0.798828125,NaN
2,13838,1,0,NaN,1,NaN,0.7998046875,NaN
3,14657,1,0,NaN,1,NaN,0.7998046875,NaN
4,15476,1,0,NaN,1,NaN,0.7998046875,NaN
5,16295,1,0,NaN,1,NaN,0.798828125,NaN
6,17113,1,0,NaN,1,NaN,0.7998046875,NaN
7,17932,1,0,NaN,1,NaN,0.7998046875,NaN
8,18751,1,0,NaN,1,NaN,0.7998046875,NaN
9,19570,1,1,NaN,NaN,1,1.1201171875,1.4443359375
10,20717,1,0,0.32421875,1,NaN,0.798828125,NaN
11,21535,1,0,NaN,1,NaN,0.7998046875,NaN
12,22354,1,0,NaN,1,NaN,0.7998046875,NaN
13,23173,1,0,NaN,1,NaN,0.7998046875,NaN
14,23992,1,0,NaN,1,NaN,0.7998046875,NaN
15,24811,1,0,NaN,1,NaN,0.7998046875,NaN
16,25630,1,0,NaN,1,NaN,0.7998046875,NaN
17,26449,1,0,NaN,1,NaN,0.7998046875,NaN
18,27268,1,0,NaN,1,NaN,0.7998046875,NaN
19,28087,1,0,NaN,1,NaN,0.798828125,NaN
20,28905,1,0,NaN,0,NaN,0.7998046875,1.4375
21,29724,1,0,0.6376953125,1,NaN,0.7998046875,NaN
22,30543,1,0,NaN,1,NaN,0.7998046875,NaN
23,31362,1,0,NaN,1,NaN,0.7998046875,NaN
24,32181,1,1,NaN,NaN,1,1.119140625,1.58203125
25,33327,1,0,0.462890625,1,NaN,0.7998046875,NaN
26,34146,1,0,NaN,1,NaN,0.7998046875,NaN
27,34965,1,0,NaN,1,NaN,0.7998046875,NaN
28,35784,1,0,NaN,1,NaN,0.7998046875,NaN
29,36603,1,0,NaN,1,NaN,0.7998046875,NaN
30,37422,1,0,NaN,1,NaN,0.7998046875,NaN
31,38241,1,0,NaN,1,NaN,0.7998046875,NaN
32,39060,1,0,NaN,1,NaN,0.798828125,NaN
33,39878,1,0,NaN,1,NaN,0.7998046875,NaN
34,40697,1,0,NaN,1,NaN,0.7998046875,NaN
35,41516,1,0,NaN,1,NaN,0.7998046875,NaN
36,42335,1,0,NaN,1,NaN,0.7998046875,NaN
37,43154,1,0,NaN,1,NaN,0.7998046875,NaN
38,43973,1,1,NaN,NaN,1,1.119140625,1.3935546875
39,45119,1,0,0.2744140625,1,NaN,0.7998046875,NaN
40,45938,1,0,NaN,1,NaN,0.7998046875,NaN
41,46757,1,0,NaN,1,NaN,0.7998046875,NaN
42,47576,1,0,NaN,1,NaN,0.7998046875,NaN
43,48395,1,0,NaN,1,NaN,0.7998046875,NaN
44,49214,1,0,NaN,1,NaN,0.7998046875,NaN
45,50033,1,0,NaN,1,NaN,0.7998046875,NaN
46,50852,1,0,NaN,1,NaN,0.798828125,NaN
47,51670,1,0,NaN,0,NaN,0.7998046875,1.501953125
48,52489,1,0,0.7021484375,1,NaN,0.7998046875,NaN
49,53308,1,0,NaN,1,NaN,0.7998046875,NaN
50,54127,1,1,NaN,NaN,1,1.1201171875,1.2275390625
51,55274,1,0,0.107421875,1,NaN,0.798828125,NaN
52,56092,1,0,NaN,1,NaN,0.7998046875,NaN
53,56911,1,0,NaN,1,NaN,0.7998046875,NaN
54,57730,1,0,NaN,1,NaN,0.7998046875,NaN
55,58549,1,0,NaN,1,NaN,0.7998046875,NaN
56,59368,1,0,NaN,1,NaN,0.7998046875,NaN
57,60187,1,0,NaN,1,NaN,0.7998046875,NaN
58,61006,1,0,NaN,0,NaN,0.7998046875,0.994140625
59,61825,1,0,0.1943359375,1,NaN,0.7998046875,NaN
60,62644,1,1,NaN,NaN,1,1.119140625,1.34765625
61,63790,1,0,0.228515625,1,NaN,0.7998046875,NaN
62,64609,1,0,NaN,1,NaN,0.7998046875,NaN
63,65428,1,0,NaN,1,NaN,0.7998046875,NaN
64,66247,1,0,NaN,1,NaN,0.7998046875,NaN
65,67066,1,0,NaN,1,NaN,0.798828125,NaN
66,67884,1,0,NaN,1,NaN,0.7998046875,NaN
67,68703,1,0,NaN,1,NaN,0.7998046875,NaN
68,69522,1,0,NaN,1,NaN,0.7998046875,NaN
69,70341,1,0,NaN,1,NaN,0.7998046875,NaN
70,71160,1,1,NaN,NaN,1,1.119140625,1.421875
71,72306,1,0,0.302734375,1,NaN,0.7998046875,NaN
72,73125,1,0,NaN,1,NaN,0.7998046875,NaN
73,73944,1,0,NaN,1,NaN,0.7998046875,NaN
74,74763,1,0,NaN,1,NaN,0.7998046875,NaN
75,75582,1,0,NaN,1,NaN,0.7998046875,NaN
76,76401,1,0,NaN,1,NaN,0.7998046875,NaN
77,77220,1,0,NaN,1,NaN,0.7998046875,NaN
78,78039,1,1,NaN,NaN,1,1.119140625,1.3447265625
79,79185,1,0,0.2255859375,1,NaN,0.7998046875,NaN
80,80004,1,0,NaN,1,NaN,0.7998046875,NaN
81,80823,1,0,NaN,1,NaN,0.7998046875,NaN
82,81642,1,0,NaN,1,NaN,0.7998046875,NaN
83,82461,1,0,NaN,1,NaN,0.798828125,NaN
84,83279,1,0,NaN,1,NaN,0.7998046875,NaN
85,84098,1,0,NaN,1,NaN,0.7998046875,NaN
86,84917,1,0,NaN,1,NaN,0.7998046875,NaN
87,85736,1,0,NaN,1,NaN,0.7998046875,NaN
88,86555,1,0,NaN,1,NaN,0.7998046875,NaN
89,87374,1,0,NaN,1,NaN,0.7998046875,NaN
90,88193,1,1,NaN,NaN,1,1.119140625,1.3974609375
91,89339,1,0,0.2783203125,1,NaN,0.7998046875,NaN
92,90158,1,0,NaN,1,NaN,0.7998046875,NaN
93,90977,1,0,NaN,1,NaN,0.7998046875,NaN
94,91796,1,0,NaN,1,NaN,0.7998046875,NaN
95,92615,1,0,NaN,1,NaN,0.7998046875,NaN
96,93434,1,0,NaN,1,NaN,0.7998046875,NaN
97,94253,1,0,NaN,1,NaN,0.798828125,NaN
98,95071,1,0,NaN,1,NaN,0.7998046875,NaN
99,95890,1,0,NaN,1,NaN,0.7998046875,NaN
100,96709,1,1,NaN,NaN,1,1.1201171875,1.7841796875
101,97856,1,0,0.6640625,1,NaN,0.7998046875,NaN
102,98675,1,0,NaN,1,NaN,0.798828125,NaN
103,99493,1,0,NaN,1,NaN,0.7998046875,NaN
104,100312,1,0,NaN,1,NaN,0.7998046875,NaN
105,101131,1,0,NaN,1,NaN,0.7998046875,NaN
106,101950,1,0,NaN,1,NaN,0.7998046875,NaN
107,102769,1,0,NaN,0,NaN,0.7998046875,1.1943359375
108,103588,1,0,0.39453125,1,NaN,0.7998046875,NaN
109,104407,1,0,NaN,1,NaN,0.7998046875,NaN
110,105226,1,0,NaN,1,NaN,0.7998046875,NaN
111,106045,1,0,NaN,0,NaN,0.798828125,0.978515625
112,106863,1,1,0.1796875,NaN,1,1.1201171875,1.2890625
113,108010,1,0,0.1689453125,1,NaN,0.7998046875,NaN
114,108829,1,0,NaN,1,NaN,0.7998046875,NaN
115,109648,1,0,NaN,1,NaN,0.7998046875,NaN
116,110467,1,0,NaN,1,NaN,0.798828125,NaN
117,111285,1,0,NaN,1,NaN,0.7998046875,NaN
118,112104,1,0,NaN,1,NaN,0.7998046875,NaN
119,112923,1,0,NaN,1,NaN,0.7998046875,NaN
120,113742,1,0,NaN,1,NaN,0.7998046875,NaN
121,114561,1,0,NaN,1,NaN,0.7998046875,NaN
122,115380,1,0,NaN,1,NaN,0.7998046875,NaN
123,116199,1,1,NaN,NaN,1,1.119140625,1.5791015625
124,117345,1,0,0.4599609375,1,NaN,0.7998046875,NaN
125,118164,1,0,NaN,1,NaN,0.7998046875,NaN
126,118983,1,0,NaN,1,NaN,0.7998046875,NaN
127,119802,1,0,NaN,1,NaN,0.7998046875,NaN
128,120621,1,0,NaN,1,NaN,0.7998046875,NaN
129,121440,1,0,NaN,1,NaN,0.798828125,NaN
130,122258,1,0,NaN,1,NaN,0.7998046875,NaN
131,123077,1,0,NaN,1,NaN,0.7998046875,NaN
132,123896,1,0,NaN,1,NaN,0.7998046875,NaN
133,124715,1,1,NaN,NaN,1,1.1201171875,1.24609375
134,125862,1,0,0.1259765625,1,NaN,0.798828125,NaN
135,126680,1,0,NaN,1,NaN,0.7998046875,NaN
136,127499,1,0,NaN,1,NaN,0.7998046875,NaN
137,128318,1,0,NaN,1,NaN,0.7998046875,NaN
138,129137,1,0,NaN,1,NaN,0.7998046875,NaN
139,129956,1,0,NaN,1,NaN,0.7998046875,NaN
140,130775,1,0,NaN,1,NaN,0.7998046875,NaN
141,131594,1,0,NaN,1,NaN,0.7998046875,NaN
142,132413,1,0,NaN,1,NaN,0.7998046875,NaN
143,133232,1,0,NaN,1,NaN,0.798828125,NaN
144,134050,1,0,NaN,1,NaN,0.7998046875,NaN
145,134869,1,0,NaN,1,NaN,0.7998046875,NaN
146,135688,1,1,NaN,NaN,1,1.1201171875,1.5302734375
147,136835,1,0,0.41015625,1,NaN,0.7998046875,NaN
148,137654,1,0,NaN,1,NaN,0.798828125,NaN
149,138472,1,0,NaN,1,NaN,0.7998046875,NaN
150,139291,1,0,NaN,1,NaN,0.7998046875,NaN
151,140110,1,0,NaN,1,NaN,0.7998046875,NaN
152,140929,1,0,NaN,1,NaN,0.7998046875,NaN
153,141748,1,0,NaN,1,NaN,0.7998046875,NaN
154,142567,1,0,NaN,1,NaN,0.7998046875,NaN
155,143386,1,0,NaN,1,NaN,0.7998046875,NaN
156,144205,1,0,NaN,1,NaN,0.7998046875,NaN
157,145024,1,0,NaN,1,NaN,0.798828125,NaN
158,145842,1,0,NaN,1,NaN,0.7998046875,NaN
159,146661,1,0,NaN,1,NaN,0.7998046875,NaN
160,147480,1,0,NaN,1,NaN,0.7998046875,NaN
161,148299,1,1,NaN,NaN,1,1.1201171875,1.52734375
162,149446,1,0,0.4072265625,1,NaN,0.798828125,NaN
163,150264,1,0,NaN,1,NaN,0.7998046875,NaN
164,151083,1,0,NaN,1,NaN,0.7998046875,NaN
165,151902,1,0,NaN,1,NaN,0.7998046875,NaN
166,152721,1,0,NaN,1,NaN,0.7998046875,NaN
167,153540,1,0,NaN,1,NaN,0.7998046875,NaN
168,154359,1,0,NaN,1,NaN,0.7998046875,NaN
169,155178,1,0,NaN,1,NaN,0.7998046875,NaN
170,155997,1,0,NaN,1,NaN,0.7998046875,NaN
171,156816,1,1,NaN,NaN,0,1.119140625,NaN
172,157962,1,0,NaN,1,NaN,0.7998046875,NaN
173,158781,1,0,NaN,1,NaN,0.7998046875,NaN
174,159600,1,0,NaN,1,NaN,0.7998046875,NaN
175,160419,1,0,NaN,1,NaN,0.7998046875,NaN
176,161238,1,0,NaN,1,NaN,0.798828125,NaN
177,162056,1,0,NaN,1,NaN,0.7998046875,NaN
178,162875,1,0,NaN,1,NaN,0.7998046875,NaN
179,163694,1,0,NaN,1,NaN,0.7998046875,NaN
180,164513,1,0,NaN,1,NaN,0.7998046875,NaN
181,165332,1,0,NaN,1,NaN,0.7998046875,NaN
182,166151,1,0,NaN,1,NaN,0.7998046875,NaN
183,166970,1,0,NaN,1,NaN,0.7998046875,NaN
184,167789,1,0,NaN,1,NaN,0.798828125,NaN
185,168607,1,0,NaN,1,NaN,0.7998046875,NaN
186,169426,1,1,NaN,NaN,1,1.1201171875,1.66015625
187,170573,1,0,0.5400390625,1,NaN,0.7998046875,NaN
188,171392,1,0,NaN,1,NaN,0.7998046875,NaN
189,172211,1,0,NaN,1,NaN,0.798828125,NaN
190,173029,1,0,NaN,1,NaN,0.7998046875,NaN
191,173848,1,0,NaN,1,NaN,0.7998046875,NaN
192,174667,1,0,NaN,1,NaN,0.7998046875,NaN
193,175486,1,0,NaN,1,NaN,0.7998046875,NaN
194,176305,1,0,NaN,1,NaN,0.7998046875,NaN
195,177124,1,0,NaN,1,NaN,0.7998046875,NaN
196,177943,1,0,NaN,1,NaN,0.7998046875,NaN
197,178762,1,0,NaN,1,NaN,0.7998046875,NaN
198,179581,1,1,NaN,NaN,0,1.119140625,NaN
199,180727,1,0,NaN,1,NaN,0.7998046875,NaN
200,181546,1,0,NaN,1,NaN,0.7998046875,NaN
201,182365,1,0,NaN,1,NaN,0.7998046875,NaN
202,183184,1,0,NaN,1,NaN,0.7998046875,NaN
203,184003,1,0,NaN,1,NaN,0.798828125,NaN
204,184821,1,0,NaN,1,NaN,0.7998046875,NaN
205,185640,1,0,NaN,1,NaN,0.7998046875,NaN
206,186459,1,0,NaN,1,NaN,0.7998046875,NaN
207,187278,1,0,NaN,1,NaN,0.7998046875,NaN
208,188097,1,0,NaN,1,NaN,0.7998046875,NaN
209,188916,1,0,NaN,1,NaN,0.7998046875,NaN
210,189735,1,0,NaN,1,NaN,0.7998046875,NaN
211,190554,1,0,NaN,1,NaN,0.7998046875,NaN
212,191373,1,1,NaN,NaN,0,1.119140625,NaN
213,192519,1,0,NaN,1,NaN,0.7998046875,NaN
214,193338,1,0,NaN,1,NaN,0.7998046875,NaN
215,194157,1,0,NaN,1,NaN,0.7998046875,NaN
216,194976,1,0,NaN,1,NaN,0.7998046875,NaN
217,195795,1,0,NaN,0,NaN,0.798828125,1.1591796875
218,196613,1,0,0.3603515625,1,NaN,0.7998046875,NaN
219,197432,1,0,NaN,1,NaN,0.7998046875,NaN
220,198251,1,0,NaN,1,NaN,0.7998046875,NaN
221,199070,1,0,NaN,1,NaN,0.7998046875,NaN
222,199889,1,0,NaN,1,NaN,0.7998046875,NaN
223,200708,1,0,NaN,1,NaN,0.7998046875,NaN
224,201527,1,0,NaN,1,NaN,0.7998046875,NaN
225,202346,1,0,NaN,1,NaN,76.865234375,NaN
226,281056,2,0,NaN,1,NaN,0.798828125,NaN
227,281874,2,0,NaN,1,NaN,0.7998046875,NaN
228,282693,2,0,NaN,1,NaN,0.7998046875,NaN
229,283512,2,0,NaN,1,NaN,0.7998046875,NaN
230,284331,2,0,NaN,1,NaN,0.7998046875,NaN
231,285150,2,0,NaN,1,NaN,0.798828125,NaN
232,285968,2,0,NaN,1,NaN,0.7998046875,NaN
233,286787,2,0,NaN,1,NaN,0.7998046875,NaN
234,287606,2,1,NaN,NaN,1,1.1201171875,1.2490234375
235,288753,2,0,0.12890625,1,NaN,0.798828125,NaN
236,289571,2,0,NaN,1,NaN,0.7998046875,NaN
237,290390,2,0,NaN,1,NaN,0.8671875,NaN
238,291278,2,0,NaN,1,NaN,1.2392578125,NaN
239,292547,2,0,NaN,1,NaN,0.7998046875,NaN
240,293366,2,0,NaN,1,NaN,0.7998046875,NaN
241,294185,2,0,NaN,1,NaN,0.798828125,NaN
242,295003,2,0,NaN,1,NaN,0.8271484375,NaN
243,295850,2,1,NaN,NaN,0,1.119140625,NaN
244,296996,2,0,NaN,1,NaN,0.7998046875,NaN
245,297815,2,0,NaN,1,NaN,0.7998046875,NaN
246,298634,2,0,NaN,1,NaN,0.7998046875,NaN
247,299453,2,0,NaN,1,NaN,0.7998046875,NaN
248,300272,2,0,NaN,1,NaN,0.798828125,NaN
249,301090,2,0,NaN,1,NaN,0.7998046875,NaN
250,301909,2,0,NaN,1,NaN,0.7998046875,NaN
251,302728,2,0,NaN,1,NaN,0.7998046875,NaN
252,303547,2,0,NaN,1,NaN,0.7998046875,NaN
253,304366,2,0,NaN,1,NaN,0.7998046875,NaN
254,305185,2,0,NaN,1,NaN,0.7998046875,NaN
255,306004,2,1,NaN,NaN,1,1.119140625,1.390625
256,307150,2,0,0.271484375,1,NaN,0.7998046875,NaN
257,307969,2,0,NaN,1,NaN,0.7998046875,NaN
258,308788,2,0,NaN,1,NaN,0.7998046875,NaN
259,309607,2,0,NaN,1,NaN,0.7998046875,NaN
260,310426,2,0,NaN,1,NaN,0.7998046875,NaN
261,311245,2,0,NaN,1,NaN,0.7998046875,NaN
262,312064,2,0,NaN,1,NaN,0.798828125,NaN
263,312882,2,0,NaN,1,NaN,0.7998046875,NaN
264,313701,2,0,NaN,1,NaN,0.7998046875,NaN
265,314520,2,0,NaN,1,NaN,0.7998046875,NaN
266,315339,2,0,NaN,1,NaN,0.7998046875,NaN
267,316158,2,0,NaN,1,NaN,0.7998046875,NaN
268,316977,2,0,NaN,1,NaN,0.7998046875,NaN
269,317796,2,1,NaN,NaN,1,1.119140625,1.34375
270,318942,2,0,0.224609375,1,NaN,0.7998046875,NaN
271,319761,2,0,NaN,1,NaN,0.7998046875,NaN
272,320580,2,0,NaN,1,NaN,0.7998046875,NaN
273,321399,2,0,NaN,1,NaN,0.7998046875,NaN
274,322218,2,0,NaN,1,NaN,0.7998046875,NaN
275,323037,2,0,NaN,0,NaN,0.7998046875,0.8193359375
276,323856,2,1,0.01953125,NaN,1,1.1728515625,1.48828125
277,325057,2,0,0.3154296875,1,NaN,0.798828125,NaN
278,325875,2,0,NaN,1,NaN,0.7998046875,NaN
279,326694,2,0,NaN,1,NaN,0.7998046875,NaN
280,327513,2,0,NaN,1,NaN,0.7998046875,NaN
281,328332,2,0,NaN,1,NaN,0.7998046875,NaN
282,329151,2,0,NaN,1,NaN,0.7998046875,NaN
283,329970,2,0,NaN,1,NaN,0.7998046875,NaN
284,330789,2,1,NaN,NaN,0,1.119140625,NaN
285,331935,2,0,NaN,1,NaN,0.7998046875,NaN
286,332754,2,0,NaN,1,NaN,0.7998046875,NaN
287,333573,2,0,NaN,1,NaN,0.7998046875,NaN
