TrialN,Sample,BlockN,StimType,rawRT,corrNT,corrTG,ITI,RT
1,13298,1,0,NaN,1,NaN,0.798828125,NaN
2,14116,1,0,NaN,1,NaN,0.7998046875,NaN
3,14935,1,0,NaN,1,NaN,0.798828125,NaN
4,15753,1,0,NaN,1,NaN,0.7998046875,NaN
5,16572,1,0,NaN,1,NaN,0.7998046875,NaN
6,17391,1,0,NaN,1,NaN,0.7998046875,NaN
7,18210,1,0,NaN,1,NaN,0.7998046875,NaN
8,19029,1,0,NaN,1,NaN,0.7998046875,NaN
9,19848,1,0,NaN,1,NaN,0.7998046875,NaN
10,20667,1,0,NaN,1,NaN,0.7998046875,NaN
11,21486,1,1,NaN,NaN,1,1.119140625,1.3017578125
12,22632,1,0,0.1826171875,1,NaN,0.7998046875,NaN
13,23451,1,0,NaN,1,NaN,0.7998046875,NaN
14,24270,1,0,NaN,1,NaN,0.7998046875,NaN
15,25089,1,0,NaN,1,NaN,0.7998046875,NaN
16,25908,1,0,NaN,1,NaN,0.7998046875,NaN
17,26727,1,0,NaN,1,NaN,0.798828125,NaN
18,27545,1,1,NaN,NaN,0,1.1201171875,NaN
19,28692,1,0,NaN,1,NaN,0.7998046875,NaN
20,29511,1,0,NaN,1,NaN,0.7998046875,NaN
21,30330,1,0,NaN,1,NaN,0.7998046875,NaN
22,31149,1,0,NaN,1,NaN,0.798828125,NaN
23,31967,1,0,NaN,1,NaN,0.7998046875,NaN
24,32786,1,0,NaN,1,NaN,0.7998046875,NaN
25,33605,1,0,NaN,1,NaN,0.7998046875,NaN
26,34424,1,0,NaN,1,NaN,1.3330078125,NaN
27,35789,1,0,NaN,1,NaN,0.7998046875,NaN
28,36608,1,0,NaN,1,NaN,0.7998046875,NaN
29,37427,1,0,NaN,1,NaN,0.7998046875,NaN
30,38246,1,0,NaN,1,NaN,0.798828125,NaN
31,39064,1,0,NaN,0,NaN,0.7998046875,1.1513671875
32,39883,1,0,0.3515625,1,NaN,0.7998046875,NaN
33,40702,1,1,NaN,NaN,0,1.1201171875,NaN
34,41849,1,0,NaN,1,NaN,0.7998046875,NaN
35,42668,1,0,NaN,1,NaN,0.798828125,NaN
36,43486,1,0,NaN,1,NaN,0.7998046875,NaN
37,44305,1,0,NaN,1,NaN,0.7998046875,NaN
38,45124,1,0,NaN,1,NaN,0.7998046875,NaN
39,45943,1,0,NaN,1,NaN,0.7998046875,NaN
40,46762,1,0,NaN,1,NaN,0.7998046875,NaN
41,47581,1,0,NaN,1,NaN,0.7998046875,NaN
42,48400,1,0,NaN,1,NaN,0.7998046875,NaN
43,49219,1,0,NaN,1,NaN,0.7998046875,NaN
44,50038,1,0,NaN,1,NaN,0.798828125,NaN
45,50856,1,1,NaN,NaN,1,1.1201171875,1.2763671875
46,52003,1,0,0.15625,1,NaN,0.7998046875,NaN
47,52822,1,0,NaN,1,NaN,0.7998046875,NaN
48,53641,1,0,NaN,1,NaN,0.7998046875,NaN
49,54460,1,0,NaN,1,NaN,0.798828125,NaN
50,55278,1,0,NaN,1,NaN,0.7998046875,NaN
51,56097,1,0,NaN,1,NaN,0.7998046875,NaN
52,56916,1,0,NaN,1,NaN,0.7998046875,NaN
53,57735,1,1,NaN,NaN,1,1.1201171875,1.41796875
54,58882,1,0,0.2978515625,1,NaN,0.798828125,NaN
55,59700,1,0,NaN,1,NaN,0.7998046875,NaN
56,60519,1,0,NaN,1,NaN,0.7998046875,NaN
57,61338,1,0,NaN,1,NaN,0.7998046875,NaN
58,62157,1,0,NaN,1,NaN,0.7998046875,NaN
59,62976,1,0,NaN,1,NaN,0.7998046875,NaN
60,63795,1,0,NaN,1,NaN,0.7998046875,NaN
61,64614,1,0,NaN,1,NaN,0.7998046875,NaN
62,65433,1,0,NaN,1,NaN,0.7998046875,NaN
63,66252,1,0,NaN,0,NaN,0.798828125,0.990234375
64,67070,1,0,0.19140625,1,NaN,0.7998046875,NaN
65,67889,1,0,NaN,1,NaN,0.7998046875,NaN
66,68708,1,1,NaN,NaN,0,1.1201171875,NaN
67,69855,1,0,NaN,1,NaN,0.7998046875,NaN
68,70674,1,0,NaN,1,NaN,0.798828125,NaN
69,71492,1,0,NaN,1,NaN,0.7998046875,NaN
70,72311,1,0,NaN,1,NaN,0.7998046875,NaN
71,73130,1,0,NaN,1,NaN,0.7998046875,NaN
72,73949,1,0,NaN,1,NaN,0.7998046875,NaN
73,74768,1,0,NaN,1,NaN,0.7998046875,NaN
74,75587,1,0,NaN,1,NaN,0.7998046875,NaN
75,76406,1,1,NaN,NaN,1,1.119140625,1.18359375
76,77552,1,0,0.064453125,1,NaN,0.7998046875,NaN
77,78371,1,0,NaN,1,NaN,0.7998046875,NaN
78,79190,1,0,NaN,1,NaN,0.7998046875,NaN
79,80009,1,0,NaN,1,NaN,0.7998046875,NaN
80,80828,1,0,NaN,1,NaN,0.7998046875,NaN
81,81647,1,0,NaN,1,NaN,0.7998046875,NaN
82,82466,1,0,NaN,1,NaN,0.798828125,NaN
83,83284,1,0,NaN,1,NaN,0.7998046875,NaN
84,84103,1,0,NaN,1,NaN,0.7998046875,NaN
85,84922,1,0,NaN,1,NaN,0.7998046875,NaN
86,85741,1,0,NaN,1,NaN,0.7998046875,NaN
87,86560,1,0,NaN,1,NaN,0.7998046875,NaN
88,87379,1,0,NaN,1,NaN,0.7998046875,NaN
89,88198,1,1,NaN,NaN,1,1.119140625,1.26171875
90,89344,1,0,0.142578125,1,NaN,0.7998046875,NaN
91,90163,1,0,NaN,1,NaN,0.83984375,NaN
92,91023,1,0,NaN,1,NaN,0.7998046875,NaN
93,91842,1,0,NaN,1,NaN,0.7998046875,NaN
94,92661,1,0,NaN,1,NaN,0.7998046875,NaN
95,93480,1,0,NaN,1,NaN,0.798828125,NaN
96,94298,1,0,NaN,1,NaN,0.7998046875,NaN
97,95117,1,0,NaN,1,NaN,0.7998046875,NaN
98,95936,1,1,NaN,NaN,1,1.1201171875,1.267578125
99,97083,1,0,0.1474609375,1,NaN,0.7998046875,NaN
100,97902,1,0,NaN,1,NaN,0.798828125,NaN
101,98720,1,0,NaN,1,NaN,0.7998046875,NaN
102,99539,1,0,NaN,1,NaN,0.7998046875,NaN
103,100358,1,0,NaN,1,NaN,0.7998046875,NaN
104,101177,1,0,NaN,1,NaN,0.7998046875,NaN
105,101996,1,0,NaN,1,NaN,0.7998046875,NaN
106,102815,1,0,NaN,1,NaN,0.7998046875,NaN
107,103634,1,0,NaN,1,NaN,0.7998046875,NaN
108,104453,1,1,NaN,NaN,0,1.119140625,NaN
109,105599,1,0,NaN,1,NaN,0.7998046875,NaN
110,106418,1,0,NaN,1,NaN,0.7998046875,NaN
111,107237,1,0,NaN,1,NaN,0.7998046875,NaN
112,108056,1,0,NaN,1,NaN,0.7998046875,NaN
113,108875,1,0,NaN,1,NaN,0.7998046875,NaN
114,109694,1,0,NaN,1,NaN,0.798828125,NaN
115,110512,1,0,NaN,1,NaN,0.7998046875,NaN
116,111331,1,0,NaN,0,NaN,0.7998046875,1.1240234375
117,112150,1,0,0.32421875,1,NaN,0.7998046875,NaN
118,112969,1,0,NaN,1,NaN,0.7998046875,NaN
119,113788,1,0,NaN,1,NaN,0.7998046875,NaN
120,114607,1,0,NaN,1,NaN,0.7998046875,NaN
121,115426,1,0,NaN,1,NaN,0.7998046875,NaN
122,116245,1,0,NaN,1,NaN,0.7998046875,NaN
123,117064,1,1,NaN,NaN,0,1.119140625,NaN
124,118210,1,0,NaN,1,NaN,0.7998046875,NaN
125,119029,1,0,NaN,1,NaN,0.7998046875,NaN
126,119848,1,0,NaN,1,NaN,0.7998046875,NaN
127,120667,1,0,NaN,1,NaN,0.7998046875,NaN
128,121486,1,0,NaN,1,NaN,0.798828125,NaN
129,122304,1,0,NaN,1,NaN,0.7998046875,NaN
130,123123,1,0,NaN,0,NaN,0.7998046875,1.0458984375
131,123942,1,0,0.24609375,1,NaN,0.7998046875,NaN
132,124761,1,0,NaN,1,NaN,0.7998046875,NaN
133,125580,1,1,NaN,NaN,0,1.119140625,NaN
134,126726,1,0,NaN,1,NaN,0.7998046875,NaN
135,127545,1,0,NaN,1,NaN,0.7998046875,NaN
136,128364,1,0,NaN,1,NaN,0.7998046875,NaN
137,129183,1,0,NaN,1,NaN,0.7998046875,NaN
138,130002,1,0,NaN,1,NaN,0.7998046875,NaN
139,130821,1,0,NaN,1,NaN,0.7998046875,NaN
140,131640,1,0,NaN,1,NaN,0.7998046875,NaN
141,132459,1,0,NaN,1,NaN,0.798828125,NaN
142,133277,1,0,NaN,1,NaN,0.7998046875,NaN
143,134096,1,0,NaN,1,NaN,0.7998046875,NaN
144,134915,1,0,NaN,1,NaN,0.7998046875,NaN
145,135734,1,0,NaN,1,NaN,0.7998046875,NaN
146,136553,1,0,NaN,1,NaN,0.7998046875,NaN
147,137372,1,1,NaN,NaN,0,1.119140625,NaN
148,138518,1,0,NaN,1,NaN,0.7998046875,NaN
149,139337,1,0,NaN,1,NaN,0.7998046875,NaN
150,140156,1,0,NaN,1,NaN,0.7998046875,NaN
151,140975,1,0,NaN,1,NaN,0.7998046875,NaN
152,141794,1,0,NaN,1,NaN,0.7998046875,NaN
153,142613,1,0,NaN,1,NaN,0.7998046875,NaN
154,143432,1,0,NaN,1,NaN,0.7998046875,NaN
155,144251,1,0,NaN,1,NaN,0.798828125,NaN
156,145069,1,0,NaN,1,NaN,0.7998046875,NaN
157,145888,1,0,NaN,1,NaN,0.7998046875,NaN
158,146707,1,0,NaN,1,NaN,0.7998046875,NaN
159,147526,1,1,NaN,NaN,1,1.1201171875,1.2451171875
