TrialN,Sample,BlockN,StimType,rawRT,corrNT,corrTG,ITI,RT
1,152787,1,0,NaN,1,NaN,0.7978515625,NaN
2,153604,1,0,NaN,1,NaN,0.7998046875,NaN
3,154423,1,0,NaN,1,NaN,0.7998046875,NaN
4,155242,1,0,NaN,1,NaN,0.7998046875,NaN
5,156061,1,0,NaN,1,NaN,0.7998046875,NaN
6,156880,1,0,NaN,1,NaN,0.7998046875,NaN
7,157699,1,0,NaN,1,NaN,0.7998046875,NaN
8,158518,1,0,NaN,1,NaN,0.798828125,NaN
9,159336,1,0,NaN,1,NaN,0.7998046875,NaN
10,160155,1,0,NaN,1,NaN,0.7998046875,NaN
11,160974,1,0,NaN,1,NaN,0.7998046875,NaN
12,161793,1,1,NaN,NaN,1,1.1201171875,1.1865234375
13,162940,1,0,0.06640625,1,NaN,0.798828125,NaN
14,163758,1,0,NaN,1,NaN,0.7998046875,NaN
15,164577,1,0,NaN,1,NaN,0.7998046875,NaN
16,165396,1,0,NaN,1,NaN,0.7998046875,NaN
17,166215,1,0,NaN,1,NaN,0.7998046875,NaN
18,167034,1,0,NaN,1,NaN,0.7998046875,NaN
19,167853,1,0,NaN,1,NaN,0.7998046875,NaN
20,168672,1,0,NaN,1,NaN,0.7998046875,NaN
21,169491,1,1,NaN,NaN,1,1.119140625,1.2626953125
22,170637,1,0,0.1435546875,1,NaN,0.7998046875,NaN
23,171456,1,0,NaN,1,NaN,0.7998046875,NaN
24,172275,1,0,NaN,1,NaN,0.7998046875,NaN
25,173094,1,0,NaN,1,NaN,0.7998046875,NaN
26,173913,1,0,NaN,1,NaN,0.7998046875,NaN
27,174732,1,0,NaN,1,NaN,0.798828125,NaN
28,175550,1,0,NaN,1,NaN,0.7998046875,NaN
29,176369,1,0,NaN,1,NaN,0.7998046875,NaN
30,177188,1,0,NaN,1,NaN,0.7998046875,NaN
31,178007,1,0,NaN,1,NaN,0.7998046875,NaN
32,178826,1,0,NaN,1,NaN,0.7998046875,NaN
33,179645,1,0,NaN,1,NaN,0.7998046875,NaN
34,180464,1,0,NaN,1,NaN,0.7998046875,NaN
35,181283,1,1,NaN,NaN,1,1.119140625,1.2001953125
36,182429,1,0,0.0810546875,1,NaN,0.7998046875,NaN
37,183248,1,0,NaN,1,NaN,0.7998046875,NaN
38,184067,1,0,NaN,1,NaN,0.7998046875,NaN
39,184886,1,0,NaN,1,NaN,0.7998046875,NaN
40,185705,1,0,NaN,1,NaN,0.7998046875,NaN
41,186524,1,0,NaN,1,NaN,0.798828125,NaN
42,187342,1,0,NaN,1,NaN,0.7998046875,NaN
43,188161,1,0,NaN,1,NaN,0.7998046875,NaN
44,188980,1,0,NaN,1,NaN,0.7998046875,NaN
45,189799,1,1,1.1181640625,NaN,1,1.9189453125,1.1181640625
46,191764,1,0,NaN,1,NaN,0.7998046875,NaN
47,192583,1,0,NaN,1,NaN,0.7998046875,NaN
48,193402,1,0,NaN,1,NaN,0.7998046875,NaN
49,194221,1,0,NaN,1,NaN,0.7998046875,NaN
50,195040,1,0,NaN,1,NaN,0.7998046875,NaN
51,195859,1,0,NaN,1,NaN,0.7998046875,NaN
