TrialN,Sample,BlockN,StimType,rawRT,corrNT,corrTG,ITI,RT
1,6012,1,0,NaN,1,NaN,0.7978515625,NaN
2,6829,1,0,NaN,1,NaN,0.7998046875,NaN
3,7648,1,0,NaN,1,NaN,0.7998046875,NaN
4,8467,1,0,NaN,1,NaN,0.7998046875,NaN
5,9286,1,0,NaN,1,NaN,0.7998046875,NaN
6,10105,1,0,NaN,1,NaN,0.798828125,NaN
7,10923,1,0,NaN,1,NaN,0.7998046875,NaN
8,11742,1,0,NaN,1,NaN,0.7998046875,NaN
9,12561,1,0,NaN,1,NaN,0.7998046875,NaN
10,13380,1,1,1.0791015625,NaN,1,1.119140625,1.0791015625
11,14526,1,0,NaN,1,NaN,0.7998046875,NaN
12,15345,1,0,NaN,1,NaN,0.7998046875,NaN
13,16164,1,0,NaN,1,NaN,0.7998046875,NaN
14,16983,1,0,NaN,1,NaN,0.7998046875,NaN
15,17802,1,0,NaN,1,NaN,0.7998046875,NaN
16,18621,1,0,NaN,1,NaN,0.7998046875,NaN
17,19440,1,0,NaN,1,NaN,0.798828125,NaN
18,20258,1,0,NaN,1,NaN,0.7998046875,NaN
19,21077,1,0,NaN,1,NaN,0.7998046875,NaN
20,21896,1,0,NaN,1,NaN,0.7998046875,NaN
21,22715,1,1,NaN,NaN,1,1.119140625,1.1611328125
22,23861,1,0,0.0419921875,1,NaN,0.7998046875,NaN
23,24680,1,0,NaN,1,NaN,0.7998046875,NaN
24,25499,1,0,NaN,1,NaN,0.7998046875,NaN
25,26318,1,0,NaN,1,NaN,0.7998046875,NaN
26,27137,1,0,NaN,1,NaN,0.7998046875,NaN
27,27956,1,0,NaN,1,NaN,0.7998046875,NaN
28,28775,1,0,NaN,1,NaN,0.798828125,NaN
29,29593,1,0,NaN,1,NaN,0.7998046875,NaN
30,30412,1,1,NaN,NaN,1,1.1201171875,1.2392578125
31,31559,1,0,0.119140625,1,NaN,0.7998046875,NaN
32,32378,1,0,NaN,1,NaN,0.798828125,NaN
33,33196,1,0,NaN,1,NaN,0.7998046875,NaN
34,34015,1,0,NaN,1,NaN,0.7998046875,NaN
35,34834,1,0,NaN,1,NaN,0.7998046875,NaN
36,35653,1,0,NaN,1,NaN,0.7998046875,NaN
37,36472,1,0,NaN,1,NaN,0.7998046875,NaN
38,37291,1,0,NaN,1,NaN,0.7998046875,NaN
39,38110,1,0,NaN,1,NaN,0.798828125,NaN
40,38928,1,0,NaN,1,NaN,0.7998046875,NaN
41,39747,1,0,NaN,1,NaN,0.7998046875,NaN
42,40566,1,0,NaN,1,NaN,0.7998046875,NaN
43,41385,1,0,NaN,1,NaN,0.7998046875,NaN
44,42204,1,1,NaN,NaN,0,1.119140625,NaN
45,43350,1,0,NaN,1,NaN,0.7998046875,NaN
46,44169,1,0,NaN,1,NaN,0.7998046875,NaN
47,44988,1,0,NaN,1,NaN,0.7998046875,NaN
48,45807,1,0,NaN,1,NaN,0.7998046875,NaN
49,46626,1,0,NaN,1,NaN,0.7998046875,NaN
50,47445,1,0,NaN,1,NaN,0.798828125,NaN
51,48263,1,0,NaN,1,NaN,0.7998046875,NaN
52,49082,1,0,NaN,1,NaN,0.7998046875,NaN
53,49901,1,0,NaN,1,NaN,0.7998046875,NaN
54,50720,1,1,NaN,NaN,1,1.119140625,1.3193359375
55,51866,1,0,0.2001953125,1,NaN,0.7998046875,NaN
56,52685,1,0,NaN,1,NaN,0.7998046875,NaN
57,53504,1,0,NaN,1,NaN,0.7998046875,NaN
58,54323,1,0,NaN,1,NaN,0.7998046875,NaN
59,55142,1,0,NaN,1,NaN,0.7998046875,NaN
60,55961,1,0,NaN,1,NaN,0.7998046875,NaN
61,56780,1,0,NaN,1,NaN,0.798828125,NaN
62,57598,1,0,NaN,1,NaN,0.7998046875,NaN
63,58417,1,0,NaN,1,NaN,0.7998046875,NaN
64,59236,1,1,1.087890625,NaN,1,1.1201171875,1.087890625
65,60383,1,0,NaN,1,NaN,0.798828125,NaN
66,61201,1,0,NaN,1,NaN,0.7998046875,NaN
67,62020,1,0,NaN,1,NaN,0.7998046875,NaN
68,62839,1,0,NaN,1,NaN,0.7998046875,NaN
69,63658,1,0,NaN,1,NaN,0.7998046875,NaN
70,64477,1,0,NaN,1,NaN,0.7998046875,NaN
71,65296,1,0,NaN,1,NaN,0.7998046875,NaN
72,66115,1,0,NaN,1,NaN,0.798828125,NaN
73,66933,1,1,NaN,NaN,1,1.1201171875,1.2431640625
74,68080,1,0,0.123046875,1,NaN,0.7998046875,NaN
75,68899,1,0,NaN,1,NaN,0.7998046875,NaN
76,69718,1,0,NaN,1,NaN,0.798828125,NaN
77,70536,1,0,NaN,1,NaN,0.7998046875,NaN
78,71355,1,0,NaN,1,NaN,0.7998046875,NaN
79,72174,1,0,NaN,1,NaN,0.7998046875,NaN
80,72993,1,0,NaN,1,NaN,0.7998046875,NaN
81,73812,1,0,NaN,1,NaN,0.7998046875,NaN
82,74631,1,0,NaN,1,NaN,0.7998046875,NaN
83,75450,1,0,NaN,1,NaN,0.798828125,NaN
84,76268,1,0,NaN,0,NaN,0.7998046875,1.064453125
85,77087,1,0,0.2646484375,1,NaN,0.7998046875,NaN
86,77906,1,0,NaN,1,NaN,0.7998046875,NaN
87,78725,1,0,NaN,1,NaN,0.7998046875,NaN
88,79544,1,1,NaN,NaN,1,1.119140625,1.146484375
89,80690,1,0,0.02734375,1,NaN,0.7998046875,NaN
90,81509,1,0,NaN,1,NaN,0.7998046875,NaN
91,82328,1,0,NaN,1,NaN,0.7998046875,NaN
92,83147,1,0,NaN,1,NaN,0.7998046875,NaN
93,83966,1,0,NaN,1,NaN,0.7998046875,NaN
94,84785,1,0,NaN,1,NaN,0.7998046875,NaN
95,85604,1,0,NaN,1,NaN,0.798828125,NaN
96,86422,1,0,NaN,1,NaN,0.7998046875,NaN
97,87241,1,0,NaN,1,NaN,0.7998046875,NaN
98,88060,1,1,NaN,NaN,1,1.1201171875,1.345703125
99,89207,1,0,0.2255859375,1,NaN,0.798828125,NaN
100,90025,1,0,NaN,1,NaN,0.7998046875,NaN
101,90844,1,0,NaN,1,NaN,0.7998046875,NaN
102,91663,1,0,NaN,1,NaN,0.7998046875,NaN
103,92482,1,0,NaN,1,NaN,0.7998046875,NaN
104,93301,1,0,NaN,1,NaN,0.7998046875,NaN
105,94120,1,0,NaN,1,NaN,0.7998046875,NaN
106,94939,1,0,NaN,1,NaN,0.798828125,NaN
107,95757,1,0,NaN,1,NaN,0.7998046875,NaN
108,96576,1,0,NaN,1,NaN,0.7998046875,NaN
109,97395,1,0,NaN,1,NaN,0.7998046875,NaN
110,98214,1,0,NaN,1,NaN,0.7998046875,NaN
111,99033,1,0,NaN,1,NaN,0.7998046875,NaN
112,99852,1,0,NaN,1,NaN,0.7998046875,NaN
113,100671,1,1,1.029296875,NaN,1,1.119140625,1.029296875
114,101817,1,0,NaN,1,NaN,0.7998046875,NaN
115,102636,1,0,NaN,1,NaN,0.7998046875,NaN
116,103455,1,0,NaN,1,NaN,0.7998046875,NaN
117,104274,1,0,NaN,1,NaN,0.798828125,NaN
118,105092,1,0,NaN,1,NaN,0.7998046875,NaN
119,105911,1,0,NaN,1,NaN,0.7998046875,NaN
120,106730,1,0,NaN,1,NaN,0.7998046875,NaN
121,107549,1,0,NaN,1,NaN,0.7998046875,NaN
122,108368,1,0,NaN,1,NaN,0.7998046875,NaN
123,109187,1,0,NaN,1,NaN,0.7998046875,NaN
124,110006,1,0,NaN,1,NaN,0.798828125,NaN
125,110824,1,0,NaN,1,NaN,0.7998046875,NaN
126,111643,1,1,NaN,NaN,1,1.1201171875,1.212890625
127,112790,1,0,0.0927734375,1,NaN,0.7998046875,NaN
128,113609,1,0,NaN,1,NaN,0.798828125,NaN
129,114427,1,0,NaN,1,NaN,0.7998046875,NaN
130,115246,1,0,NaN,1,NaN,0.7998046875,NaN
131,116065,1,0,NaN,1,NaN,0.7998046875,NaN
132,116884,1,0,NaN,1,NaN,0.7998046875,NaN
133,117703,1,0,NaN,1,NaN,0.7998046875,NaN
134,118522,1,1,NaN,NaN,1,1.119140625,1.330078125
135,119668,1,0,0.2109375,1,NaN,0.7998046875,NaN
136,120487,1,0,NaN,1,NaN,0.7998046875,NaN
137,121306,1,0,NaN,1,NaN,0.7998046875,NaN
138,122125,1,0,NaN,1,NaN,0.7998046875,NaN
139,122944,1,0,NaN,1,NaN,0.798828125,NaN
140,123762,1,0,NaN,1,NaN,0.7998046875,NaN
141,124581,1,0,NaN,1,NaN,0.7998046875,NaN
142,125400,1,0,NaN,1,NaN,0.7998046875,NaN
143,126219,1,0,NaN,1,NaN,0.7998046875,NaN
144,127038,1,0,NaN,1,NaN,0.7998046875,NaN
145,127857,1,0,NaN,1,NaN,0.7998046875,NaN
146,128676,1,0,NaN,1,NaN,0.798828125,NaN
147,129494,1,1,NaN,NaN,1,1.1201171875,1.193359375
148,130641,1,0,0.0732421875,1,NaN,0.7998046875,NaN
149,131460,1,0,NaN,1,NaN,0.7998046875,NaN
150,132279,1,0,NaN,1,NaN,0.798828125,NaN
151,133097,1,0,NaN,1,NaN,0.7998046875,NaN
152,133916,1,0,NaN,1,NaN,0.7998046875,NaN
153,134735,1,0,NaN,1,NaN,0.7998046875,NaN
154,135554,1,1,NaN,NaN,0,1.119140625,NaN
155,136700,1,0,NaN,1,NaN,0.7998046875,NaN
156,137519,1,0,NaN,1,NaN,0.7998046875,NaN
157,138338,1,0,NaN,1,NaN,0.7998046875,NaN
158,139157,1,0,NaN,1,NaN,0.7998046875,NaN
159,139976,1,0,NaN,1,NaN,0.7998046875,NaN
160,140795,1,0,NaN,1,NaN,0.7998046875,NaN
161,141614,1,0,NaN,1,NaN,0.798828125,NaN
162,142432,1,0,NaN,1,NaN,0.7998046875,NaN
163,143251,1,0,NaN,1,NaN,0.7998046875,NaN
164,144070,1,1,NaN,NaN,1,1.1201171875,1.224609375
165,145217,1,0,0.1044921875,1,NaN,0.798828125,NaN
166,146035,1,0,NaN,1,NaN,0.7998046875,NaN
167,146854,1,0,NaN,1,NaN,0.7998046875,NaN
168,147673,1,0,NaN,1,NaN,0.7998046875,NaN
169,148492,1,0,NaN,1,NaN,0.7998046875,NaN
170,149311,1,0,NaN,1,NaN,0.7998046875,NaN
171,150130,1,0,NaN,1,NaN,0.7998046875,NaN
172,150949,1,0,NaN,1,NaN,0.798828125,NaN
173,151767,1,1,NaN,NaN,1,1.1201171875,1.26953125
174,152914,1,0,0.1494140625,1,NaN,0.7998046875,NaN
175,153733,1,0,NaN,1,NaN,0.7998046875,NaN
176,154552,1,0,NaN,1,NaN,0.798828125,NaN
177,155370,1,0,NaN,1,NaN,0.7998046875,NaN
178,156189,1,0,NaN,1,NaN,0.7998046875,NaN
179,157008,1,0,NaN,1,NaN,0.7998046875,NaN
180,157827,1,0,NaN,1,NaN,0.7998046875,NaN
181,158646,1,1,NaN,NaN,1,1.119140625,1.2705078125
182,159792,1,0,0.1513671875,1,NaN,0.7998046875,NaN
183,160611,1,0,NaN,1,NaN,0.7998046875,NaN
184,161430,1,0,NaN,1,NaN,0.7998046875,NaN
185,162249,1,0,NaN,1,NaN,0.7998046875,NaN
186,163068,1,0,NaN,1,NaN,0.7998046875,NaN
187,163887,1,0,NaN,1,NaN,0.7998046875,NaN
188,164706,1,0,NaN,1,NaN,0.798828125,NaN
189,165524,1,0,NaN,1,NaN,0.7998046875,NaN
190,166343,1,0,NaN,1,NaN,0.7998046875,NaN
191,167162,1,0,NaN,1,NaN,0.7998046875,NaN
192,167981,1,1,NaN,NaN,1,1.119140625,1.185546875
193,169127,1,0,0.06640625,1,NaN,0.7998046875,NaN
194,169946,1,0,NaN,1,NaN,0.7998046875,NaN
195,170765,1,0,NaN,1,NaN,0.7998046875,NaN
196,171584,1,0,NaN,1,NaN,0.7998046875,NaN
197,172403,1,0,NaN,1,NaN,0.7998046875,NaN
198,173222,1,0,NaN,1,NaN,0.7998046875,NaN
199,174041,1,0,NaN,1,NaN,0.798828125,NaN
200,174859,1,0,NaN,1,NaN,0.7998046875,NaN
201,175678,1,0,NaN,1,NaN,0.7998046875,NaN
202,176497,1,1,NaN,NaN,1,1.1201171875,1.2431640625
203,177644,1,0,0.123046875,1,NaN,0.798828125,NaN
204,178462,1,0,NaN,1,NaN,0.7998046875,NaN
205,179281,1,0,NaN,1,NaN,0.7998046875,NaN
206,180100,1,0,NaN,1,NaN,0.7998046875,NaN
207,180919,1,0,NaN,1,NaN,0.7998046875,NaN
208,181738,1,0,NaN,1,NaN,0.7998046875,NaN
209,182557,1,0,NaN,1,NaN,0.7998046875,NaN
210,183376,1,0,NaN,1,NaN,0.798828125,NaN
211,184194,1,0,NaN,1,NaN,0.7998046875,NaN
212,185013,1,0,NaN,1,NaN,0.7998046875,NaN
213,185832,1,0,NaN,1,NaN,0.7998046875,NaN
214,186651,1,0,NaN,1,NaN,0.7998046875,NaN
215,187470,1,0,NaN,1,NaN,0.7998046875,NaN
216,188289,1,1,NaN,NaN,1,1.119140625,1.2119140625
217,189435,1,0,0.0927734375,1,NaN,0.7998046875,NaN
218,190254,1,0,NaN,1,NaN,0.7998046875,NaN
219,191073,1,0,NaN,1,NaN,0.7998046875,NaN
220,191892,1,0,NaN,1,NaN,0.7998046875,NaN
221,192711,1,0,NaN,1,NaN,0.798828125,NaN
222,193529,1,0,NaN,1,NaN,0.7998046875,NaN
223,194348,1,0,NaN,1,NaN,0.7998046875,NaN
224,195167,1,0,NaN,1,NaN,0.7998046875,NaN
225,195986,1,0,NaN,1,NaN,54.4853515625,NaN
226,251779,2,0,NaN,1,NaN,0.798828125,NaN
227,252597,2,0,NaN,1,NaN,0.798828125,NaN
228,253415,2,0,NaN,1,NaN,0.7998046875,NaN
229,254234,2,0,NaN,1,NaN,0.7998046875,NaN
230,255053,2,0,NaN,1,NaN,0.7998046875,NaN
231,255872,2,0,NaN,1,NaN,0.7998046875,NaN
232,256691,2,0,NaN,1,NaN,0.7998046875,NaN
233,257510,2,0,NaN,1,NaN,0.7998046875,NaN
234,258329,2,0,NaN,1,NaN,0.798828125,NaN
235,259147,2,1,NaN,NaN,1,1.1201171875,1.2470703125
236,260294,2,0,0.126953125,1,NaN,0.7998046875,NaN
237,261113,2,0,NaN,1,NaN,0.7998046875,NaN
238,261932,2,0,NaN,1,NaN,0.798828125,NaN
239,262750,2,0,NaN,1,NaN,0.7998046875,NaN
240,263569,2,0,NaN,1,NaN,0.7998046875,NaN
241,264388,2,0,NaN,1,NaN,0.7998046875,NaN
242,265207,2,0,NaN,1,NaN,0.7998046875,NaN
243,266026,2,1,NaN,NaN,1,1.119140625,1.3193359375
244,267172,2,0,0.2001953125,1,NaN,0.7998046875,NaN
245,267991,2,0,NaN,1,NaN,0.7998046875,NaN
246,268810,2,0,NaN,1,NaN,0.7998046875,NaN
247,269629,2,0,NaN,1,NaN,0.7998046875,NaN
248,270448,2,0,NaN,1,NaN,0.7998046875,NaN
249,271267,2,0,NaN,1,NaN,0.798828125,NaN
250,272085,2,0,NaN,1,NaN,0.7998046875,NaN
251,272904,2,1,NaN,NaN,1,1.1201171875,1.2958984375
252,274051,2,0,0.17578125,1,NaN,0.7998046875,NaN
253,274870,2,0,NaN,1,NaN,0.798828125,NaN
254,275688,2,0,NaN,1,NaN,0.7998046875,NaN
255,276507,2,0,NaN,1,NaN,0.7998046875,NaN
256,277326,2,0,NaN,1,NaN,0.7998046875,NaN
257,278145,2,0,NaN,1,NaN,0.7998046875,NaN
258,278964,2,0,NaN,1,NaN,0.7998046875,NaN
259,279783,2,1,NaN,NaN,1,1.119140625,1.2919921875
260,280929,2,0,0.1728515625,1,NaN,0.7998046875,NaN
261,281748,2,0,NaN,1,NaN,0.7998046875,NaN
262,282567,2,0,NaN,1,NaN,0.7998046875,NaN
263,283386,2,0,NaN,1,NaN,0.7998046875,NaN
264,284205,2,0,NaN,1,NaN,0.798828125,NaN
265,285023,2,0,NaN,1,NaN,0.7998046875,NaN
266,285842,2,0,NaN,1,NaN,0.7998046875,NaN
267,286661,2,1,NaN,NaN,1,1.1201171875,1.29296875
268,287808,2,0,0.1728515625,1,NaN,0.798828125,NaN
269,288626,2,0,NaN,1,NaN,0.7998046875,NaN
270,289445,2,0,NaN,1,NaN,0.7998046875,NaN
271,290264,2,0,NaN,1,NaN,0.7998046875,NaN
272,291083,2,0,NaN,1,NaN,0.7998046875,NaN
273,291902,2,0,NaN,1,NaN,0.7998046875,NaN
274,292721,2,0,NaN,1,NaN,0.7998046875,NaN
275,293540,2,0,NaN,1,NaN,0.7998046875,NaN
276,294359,2,0,NaN,1,NaN,0.798828125,NaN
277,295177,2,0,NaN,1,NaN,0.7998046875,NaN
278,295996,2,0,NaN,1,NaN,0.7998046875,NaN
279,296815,2,1,NaN,NaN,1,1.1201171875,1.1943359375
280,297962,2,0,0.07421875,1,NaN,0.798828125,NaN
281,298780,2,0,NaN,1,NaN,0.7998046875,NaN
282,299599,2,0,NaN,1,NaN,0.7998046875,NaN
283,300418,2,0,NaN,1,NaN,0.7998046875,NaN
284,301237,2,0,NaN,1,NaN,0.7998046875,NaN
285,302056,2,0,NaN,1,NaN,0.7998046875,NaN
286,302875,2,0,NaN,1,NaN,0.7998046875,NaN
287,303694,2,0,NaN,1,NaN,0.798828125,NaN
288,304512,2,0,NaN,1,NaN,0.7998046875,NaN
289,305331,2,0,NaN,1,NaN,0.7998046875,NaN
